,Company (Country of headquarters),Multilatinas index score
0,Mexichem (Mexico),95.64
1,Cemex (Mexico),95.47
2,Grupo Bimbo (Mexico),86.7
3,Grupo Alfa (Mexico),86.28
4,América Móvil (Mexico),84.46
5,Vale (Brazil),84.44
6,LATAM (Chile/Brazil),82.96
7,Aje Group (Peru),78.63
8,JBS (Brazil),78.35
9,Arcos Dorados (Argentina),78.09
10,Tenaris (Argentina),77.65
11,Gruma (Mexico),75.66
12,Nemak (Mexico),73.81
13,Copa Airlines (Panama),71.9
14,Sigma (Mexico),71.56
15,Ternium (Argentina),71.09
16,Globant (Argentina),69.66
17,Ambev (Brazil),69.37
18,Gerdau (Brazil),69.17
19,Empresas Copec (Chile),69.16
