,Month,Number of deaths
0,Dec 10,56940
1,Dec 9,56648
2,Dec 8,56352
3,Dec 7,55521
4,Dec 6,55155
5,Dec 5,54981
6,Dec 4,54767
7,Dec 3,54140
8,Dec 2,53816
9,Dec 1,53506
10,Nov 30,52731
11,Nov 29,52325
12,Nov 28,52127
13,Nov 27,51914
14,Nov 26,50957
15,Nov 25,50618
16,Nov 24,50237
17,Nov 23,49232
18,Nov 22,48732
19,Nov 21,48518
20,Nov 20,48265
21,Nov 19,47127
22,Nov 18,46698
23,Nov 17,46273
24,Nov 16,45054
25,Nov 15,44548
26,Nov 14,44246
27,Nov 13,43892
28,Nov 12,42960
29,Nov 11,42535
30,Nov 10,42207
31,Nov 9,40987
32,Nov 8,40439
33,Nov 7,40169
34,Nov 6,39865
35,Nov 5,39037
36,Nov 4,38674
37,Nov 3,38289
38,Nov 2,37435
39,Nov 1,37019
40,Oct 31,36788
41,Oct 30,36565
42,Oct 29,36020
43,Oct 28,35785
44,Oct 27,35541
45,Oct 26,35018
46,Oct 25,34761
47,Oct 24,34645
48,Oct 23,34508
49,Oct 22,34210
50,Oct 21,34048
51,Oct 20,33885
52,Oct 19,33623
53,Oct 18,33477
54,Oct 17,33392
55,Oct 16,33303
56,Oct 15,33125
57,Oct 14,33037
58,Oct 13,32933
59,Oct 12,32825
60,Oct 11,32730
61,Oct 10,32684
62,Oct 9,32630
63,Oct 8,32521
64,Oct 7,32445
65,Oct 6,32365
66,Oct 5,32299
67,Oct 4,32230
68,Oct 3,32198
69,Oct 2,32155
70,Oct 1,32019
71,Sep 30,31956
72,Sep 29,31893
73,Sep 28,31808
74,Sep 27,31727
75,Sep 26,31700
76,Sep 25,31661
77,Sep 24,31511
78,Sep 23,31459
79,Sep 22,31416
80,Sep 21,31338
81,Sep 20,31285
82,Sep 19,31274
83,Sep 18,31249
84,Sep 17,31095
85,Sep 16,31045
86,Sep 15,30999
87,Sep 14,30950
88,Sep 13,30916
89,Sep 12,30910
90,Sep 11,30893
91,Sep 10,30813
92,Sep 9,30794
93,Sep 8,30764
94,Sep 7,30726
95,Sep 6,30724
96,Sep 5,30724
97,Sep 4,30724
98,Sep 3,30706
99,Sep 2,30686
100,Sep 1,30661
101,Aug 31,30635
102,Aug 30,30606
103,Aug 29,30602
104,Aug 28,30596
105,Aug 27,30576
106,Aug 26,30544
107,Aug 25,30544
108,Aug 24,30528
109,Aug 23,30513
110,Aug 22,30512
111,Aug 21,30503
112,Aug 20,30480
113,Aug 19,30468
114,Aug 18,30451
115,Aug 17,30429
116,Aug 16,30410
117,Aug 15,30409
118,Aug 14,30406
119,Aug 13,30388
120,Aug 12,30371
121,Aug 11,30354
122,Aug 10,30340
123,Aug 07,30324
124,Aug 06,30312
125,Aug 05,30305
126,Aug 04,30296
127,Aug 03,30294
128,Jul 31,30265
129,Jul 30,30254
130,Jul 29,30238
131,Jul 28,30223
132,Jul 27,30209
133,Jul 24,30192
134,Jul 23,30182
135,Jul 22,30172
136,Jul 21,30165
137,Jul 20,30177
138,Jul 17,30152
139,Jul 16,30128
140,Jul 15,30120
141,Jul 13,30029
142,Jul 10,30004
143,Jul 09,29979
144,Jul 08,29965
145,Jul 07,29933
146,Jul 06,29920
147,Jul 03,29893
148,Jul 02,29875
149,Jul 01,29861
150,Jun 30,29843
151,Jun 29,29813
152,Jun 28,29778
153,Jun 27,29778
154,Jun 26,29778
155,Jun 25,29752
156,Jun 24,29731
157,Jun 23,29720
158,Jun 22,29663
159,Jun 21,29640
160,Jun 20,29633
161,Jun 19,29617
162,Jun 18,29603
163,Jun 17,29575
164,Jun 16,29547
165,Jun 15,29436
166,Jun 14,29407
167,Jun 13,29398
168,Jun 12,29374
169,Jun 11,29346
170,Jun 10,29319
171,Jun 9,29296
172,Jun 8,29209
173,Jun 7,29155
174,Jun 6,29142
175,Jun 5,29111
176,Jun 4,29065
177,Jun 3,29021
178,Jun 2,28940
179,Jun 1,28833
180,May 31,28802
181,May 30,28771
182,May 29,28714
183,May 28,28662
184,May 27,28596
185,May 26,28530
186,May 25,28432
187,May 24,28367
188,May 23,28332
189,May 22,28289
190,May 21,28215
191,May 20,28132
192,May 19*,28022
193,May 18,28239
194,May 17,28108
195,May 16,27625
196,May 15,27529
197,May 14,27425
198,May 13,27074
199,May 12,26991
200,May 11,26643
201,May 10,26380
202,May 9,26310
203,May 8,26230
204,May 7,25987
205,May 6,25809
206,May 5,25531
207,May 4,25201
208,May 3,24895
209,May 2,24760
210,May 1,24594
211,Apr 30,24376
212,Apr 29,24087
213,Apr 28,23660
214,Apr 27,23293
215,Apr 26,22856
216,Apr 25,22614
217,Apr 24,22245
218,Apr 23,21856
219,Apr 22,21340
220,Apr 21,20796
221,Apr 20,20265
222,Apr 19,19718
223,Apr 18,19323
224,Apr 17,18681
225,Apr 16,17920
226,Apr 15,17167
227,Apr 14,15729
228,Apr 13,14967
229,Apr 12,14393
230,Apr 11,13832
231,Apr 10,13197
232,Apr 9,12210
233,Apr 8,10869
234,Apr 7,10328
235,Apr 6,6494
236,Apr 5,5889
237,Apr 4,5532
238,Apr 3,5091
239,Apr 2,4503
240,Apr 1,4032
241,Mar 31,3523
242,Mar 30,3024
243,Mar 29,2606
244,Mar 28,2314
245,Mar 27,1995
246,Mar 26,1696
247,Mar 25,1331
248,Mar 24,1100
249,Mar 23,860
250,Mar 22,674
251,Mar 21,562
252,Mar 20,450
253,Mar 19,372
254,Mar 18,244
255,Mar 17,175
256,Mar 16,148
257,Mar 15,127
258,Mar 14,91
259,Mar 13,79
260,Mar 12,61
