,Year,Inflation rate compared to previous year
0,2024*,2%
1,2023*,2%
2,2022*,2%
3,2021*,1.95%
4,2020*,1.89%
5,2019*,2.19%
6,2018,1.32%
7,2017,2.8%
8,2016,3.59%
9,2015,3.55%
10,2014,3.25%
11,2013,2.81%
12,2012,3.66%
13,2011,3.37%
14,2010,1.53%
15,2009,2.94%
16,2008,5.79%
17,2007,1.78%
18,2006,2%
19,2005,1.62%
20,2004,3.66%
21,2003,2.26%
22,2002,0.19%
23,2001,1.98%
24,2000,3.76%
25,1999,3.47%
26,1998,7.26%
27,1997,8.55%
28,1996,11.55%
29,1995,11.13%
30,1994,23.74%
31,1993,48.58%
32,1992,73.53%
33,1991,409.53%
34,1990,"7,481.69%"
35,1989,"3,398.27%"
36,1988,666.96%
37,1987,85.85%
38,1986,77.92%
39,1985,163.4%
40,1984,110.21%
