,Month,Index (2015=100)
0,Jul 20,114.6
1,Jun 20,115.6
2,May 20,117.8
3,Apr 20,104.1
4,Mar 20,111.1
5,Feb 20,113.6
6,Jan 20,112.5
7,Dec 19,110.8
8,Nov 19,112.4
9,Oct 19,110.8
10,Sep 19,111.3
11,Aug 19,111.0
12,Jul 19,110.9
13,Jun 19,111.4
14,May 19,109.3
15,Apr 19,110.5
16,Mar 19,110.8
17,Feb 19,110.6
18,Jan 19,110.1
19,Dec 18,107.8
20,Nov 18,108.9
21,Oct 18,108.4
22,Sep 18,107.1
23,Aug 18,107.4
24,Jul 18,107.6
25,Jun 18,107.6
26,May 18,107.6
27,Apr 18,109.3
28,Mar 18,106.4
29,Feb 18,105.3
30,Jan 18,106.1
31,Dec 17,108.3
32,Nov 17,106.8
33,Oct 17,106.0
34,Sep 17,106.9
35,Aug 17,105.3
36,Jul 17,105.8
37,Jun 17,105.7
38,May 17,106.1
39,Apr 17,104.8
40,Mar 17,106.4
41,Feb 17,103.8
42,Jan 17,103.2
43,Dec 16,104.4
44,Nov 16,102.5
45,Oct 16,104.7
46,Sep 16,101.3
47,Aug 16,102.5
