,Richest families in Russia,Assets in billion U.S. dollars
0,"Arkady Rotenberg, Boris Rotenberg, Igor Rotenberg, and Liliya Rotenberg",5.45
1,"Andrei Guriev, Evgeniya Gurieva, Andrei Guriev Jr., Julia Gurieva-Motlokhov",5.1
2,"Mikhail Gutseriev, Sait-Salam Gutseriev, Said Gutseriev",3.2
3,"Airat Shaimiev, Radik Shaimiev, Timur Shaimiev",2.85
4,"Vladimir Evtushenkov, Felix Evtushenkov",2.3
5,"Musa Bazhaev, Mavlit Bazhaev, Deni Bazhaev",1.9
6,"Megdet Rahimkulov, Timur Rahimkulov, Ruslan Rahimkulov",1.8
7,"Sergei Sarkisov, Nikolai Sarkisov",1.7
8,"Alexander Linnik, Viktor Linnik",1.35
9,"Lidiya Mikhailova, Sergey Mikhailov, Evgeny Mikhailov, Lyudmila Mikhailova",1.1
