,Quarter & Year,Net sales in million U.S. dollars
0,1Q '19,766.05
1,4Q '18,932.11
2,3Q '18,810.01
3,2Q '18,894.45
4,1Q '18,710.87
5,4Q '17,888.5
6,3Q '17,743.08
7,2Q '17,813.49
8,1Q '17,641.51
9,4Q '16,860.77
10,3Q '16,722.25
11,2Q '16,811.61
12,1Q '16,624.04
13,4Q '15,781.36
14,3Q '15,679.69
15,2Q '15,773.83
16,1Q '15,585.39
17,4Q '14,803.3
18,3Q '14,706.28
19,2Q '14,777.85
20,1Q '14,583.22
21,4Q '13,759.69
22,3Q '13,643.64
23,2Q '13,696.56
24,1Q '13,531.96
25,4Q '12,769.0
26,3Q '12,672.38
27,2Q '12,718.0
28,1Q '12,556.6
29,4Q '11,910.0
30,3Q '11,666.99
31,2Q '11,674.1
32,1Q '11,507.83
33,4Q '10,837.72
34,3Q '10,692.36
35,2Q '10,728.77
36,1Q '10,431.07
37,4Q '09,1059.38
38,3Q '09,781.25
39,2Q '09,669.1
40,1Q '09,436.7
