,Household Expenditure,Average expenditure in Canadian dollars
0,Shelter,13846
1,Transportation,12612
2,Income taxes,12003
3,Food expenditures,8250
4,Household operations,4894
5,Personal insurance payments and pension contributions,4728
6,Health care,3004
7,Recreation,2948
8,Clothing and accessories,2787
9,Household furnishings and equipment,2221
10,"Gifts of money, support payments and charitable contributions",1741
11,Miscellaneous expenditures,1239
12,Tobacco products and alcoholic beverages,1126
13,Personal care,927
14,Education,883
15,Reading materials and other printed matter,136
16,Games of chance,109
