,Quarter,Unemployment rate
0,Q2 2020,5.7%
1,Q1 2020,7.4%
2,Q4 2019,7.7%
3,Q3 2019,8.7%
4,Q2 2019,7.4%
5,Q1 2019,7.5%
6,Q4 2018,8%
7,Q3 2018,7.6%
8,Q2 2018,8.6%
9,Q1 2018,10%
10,Q4 2017,11.2%
11,Q3 2017,11.6%
12,Q2 2017,14.4%
13,Q1 2017,15.5%
14,Q4 2016,16.8%
15,Q3 2016,17.3%
16,Q2 2016,15.4%
17,Q1 2016,15.5%
18,Q4 2015,18.2%
19,Q3 2015,19.4%
20,Q2 2015,21.4%
21,Q1 2015,21.1%
22,Q4 2014,18.7%
23,Q3 2014,19.5%
24,Q2 2014,21%
25,Q1 2014,21.3%
26,Q4 2013,21.4%
27,Q3 2013,19.5%
28,Q2 2013,18.2%
29,Q1 2013,20%
30,Q4 2012,19.2%
31,Q3 2012,20%
32,Q2 2012,20.6%
33,Q1 2012,18.5%
34,Q4 2011,18.8%
35,Q3 2011,19%
36,Q2 2011,17.8%
37,Q1 2011,18.3%
38,Q4 2010,18.6%
39,Q3 2010,16.6%
40,Q2 2010,18.4%
41,Q1 2010,16.7%
42,Q4 2009,16.8%
43,Q3 2009,16.4%
44,Q2 2009,13.8%
45,Q1 2009,13.8%
46,Q4 2008,11.1%
47,Q3 2008,10.2%
48,Q2 2008,10.3%
49,Q1 2008,10.3%
50,Q4 2007,10.1%
51,Q3 2007,9.5%
52,Q2 2007,10.4%
53,Q1 2007,10.8%
54,Q4 2006,11.5%
55,Q3 2006,12.1%
56,Q2 2006,11%
57,Q1 2006,10.2%
58,Q4 2005,9.6%
59,Q3 2005,10%
60,Q2 2005,11.4%
61,Q1 2005,12.3%
62,Q4 2004,12.6%
