,Year,Inflation rate compared to previous year
0,2025*,2.1%
1,2024*,2.1%
2,2023*,2%
3,2022*,2%
4,2021*,1.5%
5,2020*,-1.5%
6,2019,-1.93%
7,2018,3.07%
8,2017,1.97%
9,2016,1.62%
10,2015,4.07%
11,2014,2.35%
12,2013,1.1%
13,2012,0.66%
14,2011,0.88%
15,2010,0.88%
16,2009,1.56%
17,2008,12.27%
18,2007,11.13%
19,2006,9.29%
20,2005,6.2%
21,2004,5.04%
22,2003,3.12%
23,2002,2.92%
24,2001,2.8%
25,2000,1.35%
26,1999,2.1%
27,1998,1.99%
28,1997,2.97%
29,1996,2.98%
30,1995,4.33%
31,1994,5.7%
32,1993,5.27%
33,1992,6.38%
34,1991,3.4%
35,1990,0.6%
36,1989,2.79%
37,1988,5%
38,1987,5.5%
39,1986,5.44%
40,1985,3.5%
