,Year,Inflation rate compared to previous year
0,2025*,5%
1,2024*,5.01%
2,2023*,5.12%
3,2022*,5.49%
4,2021*,6.04%
5,2020*,6.15%
6,2019*,7.12%
7,2018,6.52%
8,2017,8.05%
9,2016,7.23%
10,2015,6.81%
11,2014,6.26%
12,2013,5.24%
13,2012,4.65%
14,2011,4.8%
15,2010,5.05%
16,2009,4.55%
17,2008,4.45%
18,2007,5.37%
19,2006,2.06%
20,2005,4.96%
21,2004,14.29%
22,2003,17.03%
23,2002,8.61%
24,2001,4.49%
25,2000,0.85%
26,1999,3.81%
27,1998,1.11%
28,1997,2.78%
29,1996,1.1%
30,1995,6.98%
31,1994,1.71%
32,1993,6.47%
33,1992,9.48%
34,1991,8.64%
35,1990,12.17%
36,1989,8.26%
37,1988,11.55%
38,1987,23.71%
39,1986,56.56%
40,1985,18.32%
