,UFC event,Attendance
0,Whittaker vs. Adesanya (UFC 243),57127
1,Rousey vs. Holm (UFC 193),56214
2,St. Pierre vs. Shields (UFC 129),55724
3,Werdum vs. Miocic (UFC 198),45207
4,Gustafsson vs. Johnson (UFC on FOX 14),30000
5,St. Pierre vs. Koscheck 2 (UFC 124),23152
6,Hunt vs. Oleinik (UFC Fight Night 136),22603
7,Redemption (UFC 97),21451
8,Serra vs. St. Pierre 2 (UFC 83),21390
9,Velasquez vs. Werdum (UFC 188),21036
10,Werdum vs. Hunt (UFC 180),21000
11,Edgar vs. Henderson (UFC 144),21000
12,Alvarez vs. McGregor (UFC 205),20427
13,St. Pierre vs. Diaz (UFC 158),20145
14,Masvidal vs. Diaz (UFC 244),20143
15,Khabib vs. McGregor (UFC 229),20034
16,Hendricks vs. Lawler (UFC 171),19324
17,Uprising (UFC 68),19049
