,Apparel supplier,Revenue in million U.S. dollars
0,alphabroder (Ash City),815.0
1,"SanMar*, **",527.5
2,Bodek and Rhodes,254.1
3,S&S Activewear (Eva Sportswear),210.0
4,Ennis (Alstyle Apparel),202.5
5,Heritage & Virginia T's,200.0
6,Staton Corporate and Casual,131.0
7,Profill Holdings (TSC Appareland WearMagic),111.0
8,American Apparel,105.2
9,River's End Trading Co.,100.3
10,MV Sport/Weatherproof*,70.0
11,Tri-Mountain,68.5
12,Edwards Garment Co.,61.3
13,Cutter & Buck,59.0
14,Sierra Pacific (Hilton Apparel Group)*,58.4
15,Blue Generation,58.0
16,Vantage Apparel,46.8
17,Charles River Apparel,40.0
18,TSF Apparel*,34.9
19,Otto International,30.0
20,Next Level Apparel*,28.2
21,Hartwell Classic Apparel*,25.9
22,Dunbrooke,21.0
23,Perry Ellis International,17.6
24,HTT Apparel & Headwear,12.5
