,Response,Percentage of change compared to previous year
0,2025*,2.36%
1,2024*,2.99%
2,2023*,4%
3,2022*,4.61%
4,2021*,7.16%
5,2020*,-12.63%
6,2019,-0.12%
7,2018,2.99%
8,2017,3.92%
9,2016,0.3%
10,2015,0.42%
11,2014,4.21%
12,2013,3.58%
13,2012,3.41%
14,2011,7.14%
15,2010,12.14%
16,2009,-8.4%
17,2008,5.66%
18,2007,8.7%
19,2006,9.34%
20,2005,7.13%
21,2004,9.67%
22,2003,2.19%
23,2002,-1.74%
24,2001,-5.78%
25,2000,8.34%
26,1999,4.98%
27,1998,2.33%
28,1997,11.91%
29,1996,8.17%
30,1995,10.28%
31,1994,8.84%
32,1993,3.28%
33,1992,6.93%
34,1991,6.61%
35,1990,8.82%
