,Year,Inflation rate compared to previous year
0,2025*,4.5%
1,2024*,4.5%
2,2023*,4.5%
3,2022*,4.3%
4,2021*,3.88%
5,2020*,3.34%
6,2019,4.13%
7,2018,4.62%
8,2017,5.27%
9,2016,6.34%
10,2015,4.58%
11,2014,6.09%
12,2013,5.76%
13,2012,5.62%
14,2011,4.99%
15,2010,4.26%
16,2009,7.12%
17,2008,10.99%
18,2007,7.15%
19,2006,4.62%
20,2005,3.35%
21,2004,1.43%
22,2003,5.87%
23,2002,9.15%
24,2001,5.64%
25,2000,5.39%
26,1999,5.08%
27,1998,6.98%
28,1997,8.63%
29,1996,7.35%
30,1995,8.75%
31,1994,8.84%
32,1993,9.66%
33,1992,14.06%
34,1991,15.21%
35,1990,14.21%
36,1989,14.76%
37,1988,12.94%
38,1987,16.23%
39,1986,18.41%
40,1985,16.39%
