,Country,Unemployment rate
0,Greece**,17%
1,Spain,13.8%
2,Italy,9.5%
3,France,8.5%
4,Euro area,7.4%
5,Sweden,7.1%
6,Croatia,6.9%
7,Finland,6.8%
8,Cyprus,6.8%
9,Lithuania,6.6%
10,Latvia,6.4%
11,Portugal,6.2%
12,EU,6.2%
13,Luxembourg,5.7%
14,Slowakia,5.5%
15,Belgium,5.5%
16,Ireland,5.2%
17,Denmark,5%
18,Austria,4.5%
19,Slovenia,4.2%
20,Estonia*,4.2%
21,Bulgaria,4%
22,Romania,3.8%
23,United Kingdom**,3.8%
24,Netherlands,3.5%
25,Hungary*,3.4%
26,Poland,3.3%
27,Malta,3.3%
28,Germany,3.1%
29,Czech Republic,2%
