,Month,Units sold
0,Dec 19,2767
1,Nov 19,1348
2,Oct 19,1219
3,Sep 19,3812
4,Aug 19,2092
5,Jul 19,3490
6,Jun 19,3159
7,May 19,3171
8,Apr 19,2027
9,Mar 19,6224
10,Feb 19,2750
11,Jan 19,3006
12,Dec 18,2154
13,Nov 18,2119
14,Oct 18,1896
15,Sep 18,3031
16,Aug 18,4336
17,Jul 18,4519
18,Jun 18,3903
19,May 18,3117
20,Apr 18,2121
21,Mar 18,6466
22,Feb 18,1552
23,Jan 18,3305
24,Dec 17,2329
25,Nov 17,2526
26,Oct 17,1803
27,Sep 17,7319
28,Aug 17,1758
29,Jul 17,2791
30,Jun 17,3486
31,May 17,2722
32,Apr 17,1658
33,Mar 17,8602
34,Feb 17,1587
35,Jan 17,3762
36,Dec 16,2264
37,Nov 16,2347
38,Oct 16,1963
39,Sep 16,7380
40,Aug 16,1384
41,Jul 16,2885
