,Year,Inflation rate compared to previous year
0,2024*,2%
1,2023*,2%
2,2022*,2%
3,2021*,1.8%
4,2020*,1.5%
5,2019*,1.3%
6,2018,0.71%
7,2017,1.06%
8,2016,0.02%
9,2015,0.23%
10,2014,0.35%
11,2013,0.52%
12,2012,2.35%
13,2011,2.66%
14,2010,2.2%
15,2009,1.04%
16,2008,3.64%
17,2007,1.66%
18,2006,1.88%
19,2005,1.68%
20,2004,0.89%
21,2003,2%
22,2002,2.37%
23,2001,2.31%
24,2000,2.72%
25,1999,2.05%
26,1998,1.31%
27,1997,1.98%
28,1996,2.08%
29,1995,2.04%
30,1994,1.84%
31,1993,0.87%
32,1992,1.94%
33,1991,2.17%
34,1990,6.84%
35,1989,4.78%
36,1988,4.53%
37,1987,3.98%
38,1986,3.72%
39,1985,4.66%
40,1984,6.34%
