,Month,Price in British pounds per kilogram
0,Nov '19,8.05
1,Oct '19,8.92
2,Sep '19,7.53
3,Aug '19,7.81
4,Jul '19,6.92
5,Jun '19,9.63
6,May '19,10.72
7,Nov '18,12.23
8,Oct '18,7.73
9,Sep '18,8.18
10,Aug '18,8.23
11,Jul '18,7.91
12,Jun '18,4.7
13,Nov '17,11.0
14,Oct '17,9.28
15,Sep '17,8.1
16,Aug '17,8.6
17,Jul '17,7.03
18,Jun '17,5.79
19,May '17,4.69
20,Dec '16,9.55
21,Nov '16,10.76
22,Oct '16,8.45
23,Sep '16,7.12
24,Aug '16,7.04
25,Jul '16,5.56
26,Jun '16,5.06
27,Nov '15,7.3
28,Oct '15,8.82
29,Sep '15,7.85
30,Aug '15,7.64
31,Jul '15,6.65
32,Jun '15,6.87
33,May '15,7.84
34,Nov '14,6.22
35,Oct '14,7.43
36,Sep '14,5.97
37,Aug '14,7.48
38,Jul '14,5.8
39,June '14,5.09
40,May '14,8.64
