,profession,Average annual pay in U.S. dollars
0,Chief Executives,193850
1,Computer and Information Systems Managers,156390
2,Architectural and Engineering Managers,152930
3,Marketing Managers,149200
4,Financial Managers,147530
5,Natural Sciences Managers,145450
6,Advertising and Promotions Managers,141890
7,Sales Managers,141690
8,Compensation and Benefits Managers,134210
9,Public Relations and Fundraising Managers,132630
10,Human Resources Managers,129570
11,Purchasing Managers,128400
12,Training and Development Managers,123470
13,General and Operations Managers,123030
14,"Managers, All Other",118710
15,Medical and Health Services Managers,115160
16,Industrial Production Managers,115110
17,"Education Administrators, Postsecondary",112400
18,Administrative Services Managers  and Facilities Managers,106550
19,Construction Managers,105000
20,"Transportation, Storage, and Distribution Managers",103320
21,"Education Administrators, Elementary and Secondary School",100340
22,Funeral Home Managers,95220
23,"Education Administrators, All Other",92150
24,Gambling Managers,84700
25,Emergency Management Directors,82530
26,"Farmers, Ranchers, and Other Agricultural Managers",80360
27,Postmasters and Mail Superintendents,78220
28,Social and Community Service Managers,72900
29,"Property, Real Estate, and Community Association Managers",71720
30,Lodging Managers,63570
31,Food Service Managers,59820
32,"Education Administrators, Preschool and Childcare Center/Program",53690
33,Legislators,49440
