,State,"Robbery rate per 100,000 inhabitants"
0,District of Columbia,384.4
1,Maryland,152.2
2,California,132.4
3,Alaska,112.9
4,New Mexico,111.6
5,Nevada,106.7
6,Texas,100.0
7,Illinois,98.4
8,New York,92.9
9,Tennessee,90.1
10,Arizona,88.1
11,Louisiana,86.6
12,United States,81.6
13,Delaware,81.1
14,Missouri,80.8
15,Alabama,80.4
16,Hawaii,79.9
17,Indiana,79.2
18,Pennsylvania,76.1
19,Ohio,75.7
20,Florida,75.5
21,Georgia,75.0
22,North Carolina,72.5
23,Washington,67.6
24,New Jersey,64.5
25,South Carolina,64.0
26,Colorado,63.6
27,Oklahoma,59.9
28,Mississippi,57.1
29,Minnesota,55.8
30,Connecticut,54.1
31,Oregon,54.0
32,Michigan,53.6
33,Massachusetts,52.4
34,Arkansas,51.6
35,Wisconsin,51.4
36,Kentucky,48.4
37,Kansas,44.4
38,Virginia,41.3
39,Nebraska,40.9
40,Rhode Island,39.5
41,Utah,35.1
42,Iowa,27.4
43,North Dakota,23.5
44,New Hampshire,23.0
45,South Dakota,22.0
46,West Virginia,21.1
47,Montana,19.2
48,Maine,14.0
49,Wyoming,11.6
50,Vermont,11.4
51,Idaho,8.7
