,Country,2017,2018,2019,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,European Union - 28 countries,72%,76%,79%,-,-,-
1,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",73%,76%,79%,-,-,-
2,Belgium,76%,82%,85%,-,-,-
3,Bulgaria,54%,55%,60%,-,-,-
4,Czechia,68%,75%,76%,-,-,-
5,Denmark,91%,92%,92%,-,-,-
6,Germany,79%,84%,85%,-,-,-
7,Estonia,79%,82%,83%,-,-,-
8,Ireland,70%,74%,83%,-,-,-
9,Greece,59%,61%,65%,-,-,-
10,Spain,69%,72%,78%,-,-,-
11,France,70%,75%,77%,-,-,-
12,Croatia,58%,66%,71%,-,-,-
13,Italy,68%,71%,73%,-,-,-
14,Cyprus,74%,77%,79%,-,-,-
15,Latvia,70%,73%,75%,-,-,-
16,Lithuania,64%,68%,73%,-,-,-
17,Luxembourg,91%,86%,87%,-,-,-
18,Hungary,69%,69%,75%,-,-,-
19,Malta,76%,77%,82%,-,-,-
20,Netherlands,90%,90%,92%,-,-,-
21,Austria,74%,76%,80%,-,-,-
22,Poland,61%,64%,68%,-,-,-
23,Portugal,63%,64%,65%,-,-,-
24,Romania,47%,53%,57%,-,-,-
25,Slovenia,68%,71%,74%,-,-,-
26,Slovakia,69%,68%,76%,-,-,-
27,Finland,87%,88%,90%,-,-,-
28,Sweden,90%,88%,91%,-,-,-
29,United Kingdom,85%,91%,91%,-,-,-
30,Iceland,96%,96%,97%,-,-,-
31,Norway,92%,93%,95%,-,-,-
32,Montenegro,62%,63%,65%,-,-,-
33,North Macedonia,62%,68%,73%,-,-,-
34,Serbia,62%,68%,72%,-,-,-
35,Turkey,57%,63%,67%,,,
