,Country,Area in square kilometers
0,Russia,17098242
1,Canada,9984670
2,USA,9833517
3,China,9596960
4,Brazil,8515770
5,Australia,7741220
6,India,3287263
7,Argentina,2780400
8,Kazakhstan,2724900
9,Algeria,2381741
10,Democratic Republic of Congo,2344858
11,Greenland,2166086
12,Saudi Arabia,2149690
13,Mexico,1964375
14,Indonesia,1904569
15,Sudan,1861484
16,Libya,1759540
17,Iran,1648195
18,Mongolia,1564116
19,Peru,1285216
20,Chad,1284000
21,Niger,1267000
22,Angola,1246700
23,Mali,1240192
24,South Africa,1219090
25,Colombia,1138910
26,Ethiopia,1104300
27,Bolivia,1098581
28,Mauritania,1030700
29,Egypt,1001450
