,Year,GDP per capita in U.S. dollars
0,2025*,17343.34
1,2024*,16517.46
2,2023*,15730.92
3,2022*,14981.83
4,2021*,14390.01
5,2020*,14090.5
6,2019,15834.04
7,2018,15660.39
8,2017,15182.28
9,2016,14344.09
10,2015,13606.6
11,2014,12756.95
12,2013,11841.89
13,2012,10674.49
14,2011,9314.69
15,2010,8039.76
16,2009,7532.4
17,2008,7110.23
18,2007,6127.03
19,2006,5315.84
20,2005,4886.41
21,2004,4565.1
22,2003,4244.18
23,2002,4106.47
24,2001,4029.98
25,2000,4046.46
26,1999,4070.42
27,1998,3963.41
28,1997,3731.1
29,1996,3524.1
30,1995,3050.72
31,1994,3046.04
32,1993,2916.29
33,1992,2726.97
34,1991,2450.2
35,1990,2276.28
36,1989,2137.26
37,1988,2176.56
38,1987,2571.63
39,1986,2616.16
40,1985,2573.29
