,Month,Payroll in thousand U.S. dollars
0,Mauro Manotas,1245.05
1,"Aljaz ""Kiki"" Struna",1210.0
2,Alberth Elis,650.34
3,Romell Quioto,556.5
4,Tomas Martinez,386.8
5,Darwin Ceren,349.38
6,Adam Lundkvist,303.75
7,Juan Cabezas,292.01
8,DaMarcus Beasley,275.0
9,AJ DeLaGarza,253.75
10,Ronaldo Pena,250.0
11,Matias Gabriel Vera,231.25
12,Oscar Boniek Garcia,183.0
13,Joe Willis,172.83
14,Alejandro Fuenmayor,172.51
15,Tyler Deric,167.5
16,Thomas McNamara,165.0
17,Chris Duvall,160.0
18,Marlon Hairston,155.0
19,Memo Rodriguez,82.75
20,Erik McCue,76.25
21,Kevin Garcia,72.36
22,Eric Bird,70.88
23,Maynor Figueroa,70.25
24,Michael Nelson,57.23
25,Sam Junqua,56.25
