,Response,"Share of respondents with a ""great deal"" or ""quite a lot"" of confidence"
0,2020,72%
1,2019,73%
2,2018,74%
3,2017,72%
4,2016,73%
5,2015,72%
6,2014,74%
7,2013,76%
8,2012,75%
9,2011,78%
10,2010,76%
11,2009,82%
12,2008,71%
13,2007,69%
14,2006,73%
15,2005,74%
16,2004,75%
17,2003,82%
18,2002,79%
19,2001,66%
20,2000,64%
21,1999,68%
22,1998,64%
23,1997,60%
24,1996,66%
25,1995,64%
26,1994,64%
27,1993,68%
28,1991,69%
29,1990,68%
30,1989,63%
31,1988,58%
32,1987,61%
33,1986,63%
34,1985,61%
35,1984,58%
36,1983,53%
37,1981,50%
38,1979,54%
39,1977,57%
40,1975,58%
