,Year,Inflation rate compared to previous year
0,2024*,1.97%
1,2023*,1.99%
2,2022*,2%
3,2021*,2.13%
4,2020*,2.23%
5,2019*,-0.36%
6,2018,0.23%
7,2017,0.4%
8,2016,2.68%
9,2015,1.81%
10,2014,3.36%
11,2013,3.2%
12,2012,1.79%
13,2011,2.04%
14,2010,-2.41%
15,2009,-4.88%
16,2008,15.12%
17,2007,13.67%
18,2006,11.79%
19,2005,8.88%
20,2004,6.77%
21,2003,2.25%
22,2002,0.17%
23,2001,1.59%
24,2000,1.61%
25,1999,2.19%
26,1998,2.82%
27,1997,2.7%
28,1996,7.03%
29,1995,2.98%
30,1994,1.51%
31,1993,-0.86%
32,1992,3.09%
33,1991,4.38%
34,1990,3.01%
35,1989,3.3%
36,1988,4.82%
37,1987,4.49%
38,1986,1.9%
39,1985,1.13%
40,1984,1.14%
