,Year,Average age in years
0,2018,49.6
1,2017,50.4
2,2016,49.9
3,2015,50.0
4,2014,50.4
5,2013,50.5
6,2012,50.8
7,2011,51.0
8,2010,50.5
9,2009,50.3
10,2008,50.6
11,2007,50.4
12,2006,50.0
13,2005,49.9
14,2004,49.6
15,2003,49.5
16,2002,48.8
17,2001,48.9
18,2000,48.8
19,1999,48.8
20,1998,48.6
21,1997,48.5
22,1996,48.3
23,1995,48.3
24,1994,48.0
25,1993,48.1
26,1992,47.9
27,1991,47.7
28,1990,47.8
29,1989,48.0
30,1988,47.9
31,1987,47.9
32,1986,47.9
33,1985,47.9
34,1984,47.9
35,1983,48.1
36,1982,47.9
37,1981,47.8
38,1980,47.6
39,1979,47.4
40,1978,47.2
