,Month,Number of switches in thousands
0,Sep '20,62.51
1,Aug '20,44.17
2,Jul '20,29.9
3,Jun '20,27.97
4,May '20,28.68
5,Apr '20,41.55
6,Mar '20,113.04
7,Feb '20,96.12
8,Jan '20,71.36
9,Dec '19,72.51
10,Nov '19,90.09
11,Oct '19,99.51
12,Sep '19,78.94
13,Aug '19,66.95
14,Jul '19,81.86
15,Jun '19,83.46
16,May '19,84.91
17,Apr '19,78.61
18,Mar '19,92.99
19,Feb '19,100.35
20,Jan '19,71.85
21,Dec '18,61.89
22,Nov '18,88.5
23,Oct '18,85.52
24,Sep '18,62.1
25,Aug '18,62.29
26,Jul '18,69.24
27,Jun '18,79.52
28,May '18,77.98
29,Apr '18,68.84
30,Mar '18,102.27
31,Feb '18,102.99
32,Jan '18,68.21
33,Dec '17,64.45
34,Nov '17,110.77
35,Oct '17,72.47
36,Sep '17,60.3
37,Aug '17,73.48
38,Jul '17,84.04
39,Jun '17,77.09
40,May '17,72.9
41,Apr '17,68.16
42,Mar '17,95.99
43,Feb '17,90.4
44,Jan '17,61.91
45,Dec '16,60.06
46,Nov '16,77.98
47,Oct '16,70.35
48,Sep '16,71.16
49,Aug '16,77.61
50,Jul '16,85.59
51,Jun '16,84.59
52,May '16,79.23
53,Apr '16,94.18
54,Mar '16,124.62
55,Feb '16,110.34
56,Jan '16,74.72
