,Response,Share of respondents
0,"Free access to swimming pools, aquaparks, theme parks, etc.",33.7%
1,Meet with more friends or family,32.5%
2,Concerts or summer music festivals,20.9%
3,Freedom to travel abroad,20.8%
4,"Large events such as a city holiday, a food-truck rally",18.3%
5,Free sending of children to camps,14.3%
6,"Free access to many sights, museums, art galleries",14.1%
7,Group trips organised by travel agencies,13.3%
8,Opportunities to participate in sports events,12.9%
9,Cyclical sports events such as the Olympics,12.7%
10,Summer film festivals,10.8%
11,Departures to SPA resorts,5.7%
12,Children's activities such as summer in the city,4%
13,"I don't know, it's hard to say",4.7%
