,Football player,Goals scored
0,Henrik Larsson,40
1,Klaas Jan Huntelaar,34
2,Aritz Aduriz,31
3,Radamel Falcao,31
4,Dieter Müller,29
5,Shota Arveladze,27
6,Kevin Gameiro,26
7,Mladen Petrić,25
8,Alessandro Altobelli,25
9,Vágner Love,24
10,Claudio Pizarro,24
11,Jermain Defoe,24
12,Alan,23
13,Óscar Cardozo,23
14,Dimitris Salpingidis,23
15,Jupp Heynckes,23
16,Ivan Tričkovski,23
17,Jürgen Klinsmann,22
18,Dennis Bergkamp,22
19,Aleksandr Kerzhakov,22
20,Martin Chivers,22
21,Karl-Heinz Rummenigge,22
22,Manuel Fernandes,22
23,Alfredo Morelos,22
24,Pierre-Emerick Aubameyang,22
