,river,Length in miles **
0,Missouri (Missouri) ***,2540
1,Mississippi (Louisiana),2340
2,Yukon (Alaska),1980
3,St Lawrence (Canada),1900
4,Rio Grande (Mexico-Texas),1900
5,Arkansas (Arkansas),1460
6,Colorado (Mexico),1450
7,Atchafalaya * (Louisiana),1420
8,Ohio (Illinois-Kentucky),1310
9,Red * (Louisiana),1290
10,Brazos (Texas),1280
11,Columbia (Oregon-Washington),1240
12,Snake (Washington),1040
13,Platte (Nebraska),990
14,Pecos (Texas),926
15,Canadian (Oklahoma),906
16,Tennessee (Kentucky),886
17,Colorado (of Texas) (Texas),862
18,North Canadian (Oklahoma),800
19,Mobile (Alabama),774
20,Kansas (Kansas),743
21,Kuskokwim (Alaska),724
22,Yellowstone (North Dakota),692
23,Tanana (Alaska),659
24,Gila (Arizona),649
25,Porcupine (Alaska),569
26,Susquehanna (Maryland),447
27,Stikine (Alaska),379
28,Susitna (Alaska),313
29,Willamette (Oregon),309
30,Copper (Alaska),286
31,Nushagak (Alaska),285
