,Year,Inflation rate compared to previous year
0,2025*,1.69%
1,2024*,1.62%
2,2023*,1.59%
3,2022*,1.39%
4,2021*,0.79%
5,2020*,-0.23%
6,2019,0.7%
7,2018,1.68%
8,2017,1.96%
9,2016,-0.2%
10,2015,-0.5%
11,2014,-0.15%
12,2013,1.41%
13,2012,2.45%
14,2011,3.2%
15,2010,1.8%
16,2009,-0.29%
17,2008,4.08%
18,2007,2.79%
19,2006,3.52%
20,2005,3.37%
21,2004,3.04%
22,2003,3.04%
23,2002,3.1%
24,2001,3.59%
25,2000,3.48%
26,1999,2.24%
27,1998,1.76%
28,1997,1.88%
29,1996,3.6%
30,1995,4.67%
31,1994,4.72%
32,1993,4.57%
33,1992,7.15%
34,1991,5.93%
35,1990,6.72%
36,1989,6.79%
37,1988,4.84%
38,1987,5.25%
39,1986,8.8%
40,1985,8.82%
