,Country,Number of deaths
0,World,1877437
1,USA,365664
2,Brazil,197777
3,India,150151
4,Mexico,128822
5,Italy,76329
6,UK,76305
7,France,66282
8,Russia,59951
9,Iran,55748
10,Spain,51430
11,Colombia,44426
12,Argentina,43785
13,Peru,37925
14,Germany,37180
15,South Africa,30524
16,Poland,29502
17,Indonesia,23109
18,Turkey,21879
19,Belgium,19827
20,Ukraine,19357
21,Chile,16788
22,Canada,16233
23,Romania,16178
24,Ecuador,14103
25,Iraq,12856
26,Czechia,12436
27,Netherlands,11826
28,Pakistan,10461
29,Hungary,10198
30,Philippines,9347
31,Bolivia,9241
32,Sweden,8985
33,Switzerland,8018
34,Egypt,7918
35,Bulgaria,7902
36,Bangladesh,7670
37,Morocco,7581
38,Portugal,7286
39,Austria,6457
40,Saudi Arabia,6265
41,Greece,5051
42,Tunisia,4934
43,Guatemala,4859
44,China,4634
45,Panama,4238
46,Bosnia and Herzegovina,4211
47,Croatia,4179
48,Jordan,3940
49,Japan,3655
50,Israel,3495
51,Serbia,3405
52,Honduras,3186
53,Moldova,3070
54,Armenia,2890
55,Slovenia,2868
56,Azerbaijan,2792
57,Algeria,2782
58,Myanmar,2766
59,Georgia,2666
60,Slovakia,2603
61,North Macedonia,2559
62,Dominican Republic,2419
63,Paraguay,2321
64,Ireland,2282
65,Kazakhstan,2262
66,Costa Rica,2248
67,Afghanistan,2244
68,Lithuania,2036
69,Ethiopia,1963
70,Nepal,1893
71,Kenya,1690
72,Libya,1536
73,Lebanon,1529
74,Palestine,1505
75,Oman,1502
76,Belarus,1471
77,Sudan,1468
78,Denmark,1420
79,El Salvador,1373
80,Kyrgyzstan,1361
81,Nigeria,1319
82,Albania,1210
83,Venezuela,1042
84,S. Korea,1027
85,Kuwait,938
86,Australia,909
87,Syria,741
88,Latvia,722
89,Montenegro,699
90,UAE,685
91,Uzbekistan,615
92,Yemen,610
93,DRC,599
94,Finland,576
95,Luxembourg,514
96,Malaysia,509
97,Norway,452
98,Cameroon,448
99,Senegal,428
100,Zimbabwe,418
101,Zambia,412
102,Angola,410
103,Mauritania,367
104,Bahrain,352
105,Ghana,335
106,Jamaica,305
107,Uganda,290
108,Mali,284
109,Madagascar,262
110,Estonia,261
111,Belize,258
112,Eswatini,252
113,Qatar,245
114,Haiti,236
115,Malta,226
116,Namibia,222
117,Sri Lanka,217
118,Uruguay,217
119,Malawi,199
120,Bahamas,175
121,Mozambique,171
122,Guyana,166
123,Nicaragua,166
124,Guadeloupe,154
125,Hong Kong,153
126,Cuba,147
127,Ivory Coast,138
128,Cyprus,134
129,Somalia,130
130,Trinidad and Tobago,127
131,Suriname,125
132,Gambia,125
133,French Polynesia,121
134,Cabo Verde,113
135,Niger,112
136,Rwanda,110
137,Congo,108
138,Chad,105
139,Tajikistan,90
140,Burkina Faso,86
141,Equatorial Guinea,86
142,Andorra,84
143,Liberia,83
144,Guinea,81
145,Sierra Leone,76
146,French Guiana,72
147,Togo,69
148,Channel Islands,67
149,Gabon,66
150,Thailand,66
151,Lesotho,65
152,CAR,63
153,South Sudan,63
154,San Marino,62
155,Djibouti,61
156,Mayotte,56
157,Aruba,50
158,Maldives,48
159,Botswana,45
160,Guinea-Bissau,45
161,Liechtenstein,45
162,Benin,44
163,Martinique,43
164,Réunion,42
165,Vietnam,35
166,Singapore,29
167,Iceland,29
168,Sint Maarten,27
169,New Zealand,25
170,Isle of Man,25
171,Tanzania,21
172,Sao Tome and Principe,17
173,Curaçao,16
174,Comoros,13
175,Diamond Princess,13
176,Saint Martin,12
177,Bermuda,11
178,Gibraltar,10
179,Mauritius,10
180,Papua New Guinea,9
181,Taiwan,7
182,Barbados,7
183,Turks and Caicos,6
184,Saint Lucia,5
185,Antigua and Barbuda,5
186,Eritrea,3
187,Monaco,3
188,Caribbean Netherlands,3
189,Brunei,3
190,Mongolia,2
191,Burundi,2
192,Cayman Islands,2
193,Fiji,2
194,MS Zaandam,2
195,Seychelles,1
196,St. Barth,1
197,Grenada,1
198,British Virgin Islands,1
199,Montserrat,1
200,Western Sahara,1
