,Month,Number of viewers in thousands
0,November 2020,115.35
1,October 2020,115.18
2,September 2020,108.01
3,August 2020,132.89
4,July 2020,141.72
5,June 2020,155.2
6,May 2020,165.17
7,April 2020,135.63
8,March 2020,89.1
9,February 2020,79.68
10,January 2020,72.34
11,December 2019,86.37
12,November 2019,81.47
13,October 2019,106.0
14,September 2019,83.92
15,August 2019,119.61
16,July 2019,121.7
17,June 2019,128.84
18,May 2019,144.1
19,April 2019,139.43
20,March 2019,136.23
21,February 2019,124.99
22,January 2019,170.14
23,December 2018,158.48
24,November 2018,152.9
25,October 2018,150.62
26,September 2018,147.48
27,August 2018,176.89
28,July 2018,205.26
29,June 2018,176.29
30,May 2018,194.28
31,April 2018,178.74
32,March 2018,159.36
33,February 2018,97.6
34,January 2018,61.64
