,Month,Number of Tumblr blogs in millions
0,Apr '20,496.1
1,Jan '20,488.1
2,Oct '19,480.1
3,Jul '19,471.6
4,Apr '19,463.5
5,Jan '19,456.1
6,Oct '18,441.4
7,Jul '18,425.7
8,Apr '18,409.0
9,Jan '18,391.9
10,Oct '17,373.0
11,Jul '17,357.7
12,Apr '17,345.0
13,Jan '17,332.8
14,Oct '16,319.8
15,Jul '16,305.9
16,Apr '16,291.7
17,Jan '16,275.9
18,Oct '15,260.5
19,Jul '15,246.6
20,Apr '15,227.1
21,Jan '15,220.8
22,Oct '14,207.3
23,Jul '14,195.1
24,Apr '14,181.1
25,Jan '14,166.3
26,Oct '13,141.4
27,Jul '13,122.4
28,Apr '13,101.8
29,Jan '13,88.6
30,Oct '12,76.4
31,Jul '12,62.6
32,Mar '12,50.0
33,Sep '11,28.0
34,May '11,17.5
