,Year,Number of deaths
0,1/8/2021,16506
1,1/5/2021,16178
2,1/2/2021,15919
3,12/30/2020,15596
4,12/27/2020,15203
5,12/24/2020,14912
6,12/21/2020,14481
7,12/18/2020,14157
8,12/15/2020,13698
9,12/12/2020,13264
10,12/9/2020,12821
11,12/6/2020,12320
12,12/3/2020,11876
13,11/30/2020,11331
14,11/27/2020,10884
15,11/24/2020,10373
16,11/21/2020,9916
17,11/18/2020,9429
18,11/15/2020,8926
19,11/12/2020,8510
20,11/9/2020,8009
21,11/6/2020,7663
22,11/3/2020,7273
23,10/31/2020,6968
24,10/28/2020,6681
25,10/25/2020,6391
26,10/22/2020,6163
27,10/18/2020,5872
28,10/14/2020,5601
29,10/10/2020,5358
30,10/6/2020,5121
31,10/2/2020,4915
32,9/28/2020,4748
33,9/24/2020,4591
34,9/20/2020,4435
35,9/16/2020,4285
36,9/12/2020,4127
37,9/8/2020,3967
38,9/4/2020,3812
39,8/31/2020,3621
40,8/27/2020,3459
41,8/23/2020,3272
42,8/19/2020,3106
43,8/15/2020,2954
44,8/11/2020,2764
45,8/7/2020,2616
46,8/3/2020,2432
47,7/30/2020,2304
48,7/26/2020,2187
49,7/22/2020,2101
50,7/18/2020,2009
51,7/14/2020,1931
52,7/10/2020,1847
53,7/6/2020,1768
54,7/2/2020,1687
55,6/28/2020,1612
56,6/24/2020,1555
57,6/20/2020,1500
58,6/15/2020,1427
59,6/11/2020,1369
60,6/7/2020,1326
61,6/3/2020,1288
62,5/30/2020,1253
63,5/25/2020,1193
64,5/21/2020,1151
65,5/17/2020,1097
66,5/13/2020,1016
67,5/9/2020,926
68,5/5/2020,827
69,5/1/2020,726
