,Quarter,Revenue in million U.S. dollars
0,Q1 '17****,1327.0
1,Q4 '16***,1469.0
2,Q3 '16**,1305.0
3,Q2 '16*,1308.0
4,Q1 '16,1087.0
5,Q4 '15,1273.0
6,Q3 '15,1226.0
7,Q2 '15,1243.0
8,Q1 '15,1226.0
9,Q4 '14,1253.0
10,Q3 '14,1148.0
11,Q2 '14,1084.0
12,Q1 '14,1133.0
13,Q4 '13,1266.0
14,Q3 '13,1139.0
15,Q2 '13,1135.0
16,Q1 '13,1140.0
17,Q4 '12,1346.0
18,Q3 '12,1202.0
19,Q2 '12,1217.79
20,Q1 '12,1221.23
21,Q4 '11,1324.15
22,Q3 '11,1216.67
23,Q2 '11,1229.02
24,Q1 '11,1214.36
25,Q4 '10,1525.11
26,Q3 '10,1601.2
27,Q2 '10,1601.38
28,Q1 '10,1596.96
29,Q4 '09,1731.98
30,Q3 '09,1575.4
31,Q2 '09,1572.9
32,Q1 '09,1580.04
33,Q4 '08,1806.39
34,Q3 '08,1786.43
35,Q2 '08,1798.09
36,Q1 '08,1817.6
37,Q4 '07,1832.0
38,Q3 '07,1767.51
39,Q2 '07,1697.92
40,Q1 '07,1671.85
