,U.S. airport,Passengers enplanements in millions
0,Atlanta GA (ATL),52.26
1,"Los Angeles, CA (LAX)",43.27
2,"Chicago, IL (ORD)",40.04
3,"Dallas, TX (DFW)",32.92
4,"Denver, CO (DEN)",31.68
5,"New York, NY (JFK)",30.75
6,"San Francisco, CA (SFO)",28.0
7,"Seattle, WA(SEA)",24.08
8,"Las Vegas, NV (LAS)",24.01
9,"Orlando, FL (MCO)",23.33
10,"Newark, NJ (EWR)",22.89
11,"Charlotte, NC (CLT)",22.33
12,"Phoenix, AZ (PHX)",21.88
13,"Houston, TX (IAH)",21.27
14,Miami FL (MIA),21.1
15,"Boston, MA br>(BOS)",20.07
