,Quarter,Number of unemployed people in thousands
0,Q3 '20,3722.9
1,Q2' 20,3368.0
2,Q1' 20,3319.0
3,Q4' 19,3191.9
4,Q3' 19,3214.4
5,Q2' 19,3230.6
6,Q1' 19,3354.2
7,Q4' 18,3304.3
8,Q3 '18,3326.0
9,Q2 '18,3490.1
10,Q1 '18,3796.1
11,Q4 '17,3766.7
12,Q3 '17,3731.7
13,Q2 '17,3914.3
14,Q1 '17,4255.0
15,Q4 '16,4255.0
16,Q3 '16,4237.8
17,Q2 '16,4320.8
18,Q1 '16,4574.7
19,Q4 '15,4791.4
20,Q3 '15,4779.5
21,Q2 '15,4850.8
22,Q2 '15,5149.0
23,Q1 '15,5444.6
24,Q4 '14,5457.7
25,Q3 '14,5427.7
26,Q2 '14,5622.9
27,Q1 '14,5933.3
28,Q4 '13,5935.6
29,Q3 '13,5943.4
30,Q2 '13,6047.3
31,Q1 '13,6278.2
32,Q4 '12,6021.0
33,Q3 '12,5824.2
34,Q2 '12,5731.0
35,Q1 '12,5667.9
36,Q4 '11,5287.3
37,Q3 '11,4998.0
38,Q2 '11,4844.2
39,Q1 '11,4921.2
40,Q4 '10,4702.2
41,Q3 '10,4585.4
42,Q2 '10,4655.3
43,Q1 '10,4617.7
44,Q4 '09,4335.0
45,Q3 '09,4121.4
46,Q2 '09,4139.6
47,Q1 '09,4018.2
48,Q4 '08,3206.8
49,Q3 '08,2600.7
50,Q2 '08,2385.7
51,Q1 '08,2190.5
52,Q4 '07,1942.0
53,Q3 '07,1806.2
54,Q2 '07,1773.2
55,Q1 '07,1863.2
56,Q4 '06,1819.4
57,Q3 '06,1766.9
58,Q2 '06,1834.4
59,Q1 '06,1942.8
60,Q4 '05,1860.3
61,Q3 '05,1783.5
62,Q2 '05,1969.1
63,Q1 '05,2121.3
