, real estate investment companies in Europe ,AUM in billion U.S. dollars
0,Allianz (Germany),72.4
1,APG (Netherlands),48.38
2,AXA (France),36.31
3,Generali (Italy),30.2
4,PGGM (Netherlands),29.97
5,Swiss Life (Switzerland),29.31
6,Government Pension Fund Global (Norway),28.18
7,Prudential (UK),22.75
8,Bayerische Versorgungskammer (Germany),20.0
9,The Crown Estate (UK),17.9
10,MEAG Munich ERGO (Germany),16.01
11,Aviva (UK),14.57
12,Standard Life Aberdeen (UK),13.15
13,Zurich Insurance Group (Switzerland),12.13
14,MN (Netherlands),10.52
