,business,Number of employees
0,Rema 1000 AS,309900
1,Wurth Norge AS,77080
2,Aker ASA,19979
3,Attendo Omsorg AS,18269
4,Equinor ASA,18000
5,Posten Norge AS,15021
6,Strawberry Holding AS,14734
7,Aker Solutions ASA,14705
8,Tallyman AS,14085
9,Kongsberg Automotive ASA,11401
10,Vygruppen AS,11160
11,Hospitality Invest AS,10335
12,DNB ASA,9638
13,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL) OSLOFILIALEN,9421
14,Veidekke ASA,8568
15,Neopost Norge AS,5546
16,Odd Reitan Private Holding AS,5225
17,Oasen Bibelsenter,4914
18,"Folkeaksjonen Oljefritt Lofoten, Vesterålen og Senja",4542
19,Sporveien AS,3813
