,association football venue,Capacity
0,Signal Iduna Park (Borussia Dortmund),81365
1,Allianz Arena (FC Bayern Munich),75024
2,Olympiastadion (Hertha BSC Berlin),74400
3,Veltins Arena (FC Schalke 04),62271
4,Mercedes-Benz Arena (VfB Stuttgart),60449
5,Borussia-Park (Borussia Mönchengladbach),54022
6,Deutsche Bank Park (Eintracht Frankfurt),51500
7,Red Bull Arena (Leipzig),42558
8,Wohninvest Weserstadion (SV Werder Bremen),42100
9,Opel Arena (1. FSV Mainz 05),34000
10,WWK Arena (FC Augsburg),30660
11,WWK ARENA (FC Augsburg),30660
12,BayArena (Bayer 04 Leverkusen),30210
13,PreZero Arena (TSG Hoffeneim),30150
14,Volkswagen Arena (VfL Wolfsburg),30000
15,SchücoArena (Arminia Bielefeld),26515
16,Schwarzwald Stadion (SC Freiburg),24000
17,An der Alten Försterei (1. FC Union Berlin),22012
