,Year,Population in millions
0,2020,38.93
1,2019,38.04
2,2018,37.17
3,2017,36.3
4,2016,35.38
5,2015,34.41
6,2014,33.37
7,2013,32.27
8,2012,31.16
9,2011,30.12
10,2010,29.19
11,2009,28.39
12,2008,27.72
13,2007,27.1
14,2006,26.43
15,2005,25.65
16,2004,24.73
17,2003,23.68
18,2002,22.6
19,2001,21.61
20,2000,20.78
21,1999,20.17
22,1998,19.74
23,1997,19.36
24,1996,18.85
25,1995,18.11
26,1994,17.08
27,1993,15.82
28,1992,14.49
29,1991,13.3
30,1990,12.41
31,1989,11.87
32,1988,11.62
33,1987,11.6
34,1986,11.74
35,1985,11.94
36,1984,12.2
37,1983,12.54
38,1982,12.88
39,1981,13.17
40,1980,13.36
41,1979,13.41
42,1978,13.34
43,1977,13.17
44,1976,12.94
45,1975,12.69
46,1974,12.41
47,1973,12.11
48,1972,11.79
49,1971,11.48
50,1970,11.17
51,1969,10.89
52,1968,10.64
53,1967,10.4
54,1966,10.17
55,1965,9.96
56,1964,9.74
57,1963,9.54
58,1962,9.35
59,1961,9.17
60,1960,9.0
61,1959,8.83
62,1958,8.68
63,1957,8.54
64,1956,8.4
65,1955,8.27
66,1954,8.15
67,1953,8.04
68,1952,7.94
69,1951,7.84
70,1950,7.75
71,1949,7.66
72,1948,7.59
73,1947,7.52
74,1946,7.45
75,1945,7.38
76,1944,7.31
77,1943,7.24
78,1942,7.17
79,1941,7.1
80,1940,7.03
81,1939,6.97
82,1938,6.9
83,1937,6.84
84,1936,6.77
85,1935,6.71
86,1934,6.64
87,1933,6.58
88,1932,6.52
89,1931,6.46
90,1930,6.39
91,1929,6.33
92,1928,6.27
93,1927,6.21
94,1926,6.16
95,1925,6.1
96,1924,6.04
97,1923,5.98
98,1922,5.93
99,1921,5.87
100,1920,5.81
101,1919,5.76
102,1918,5.7
103,1917,5.65
104,1916,5.6
105,1915,5.55
106,1914,5.5
107,1913,5.46
108,1912,5.42
109,1911,5.39
110,1910,5.35
111,1909,5.32
112,1908,5.28
113,1907,5.25
114,1906,5.22
115,1905,5.18
116,1904,5.15
117,1903,5.12
118,1902,5.09
119,1901,5.05
120,1900,5.02
121,1899,4.99
122,1898,4.96
123,1897,4.93
124,1896,4.89
125,1895,4.86
126,1894,4.83
127,1893,4.8
128,1892,4.77
129,1891,4.74
130,1890,4.71
131,1889,4.68
132,1888,4.65
133,1887,4.62
134,1886,4.59
135,1885,4.56
136,1884,4.53
137,1883,4.5
138,1882,4.48
139,1881,4.45
140,1880,4.42
141,1879,4.39
142,1878,4.36
143,1877,4.34
144,1876,4.31
145,1875,4.29
146,1874,4.26
147,1873,4.24
148,1872,4.22
149,1871,4.19
150,1870,4.17
151,1869,4.15
152,1868,4.13
153,1867,4.11
154,1866,4.08
155,1865,4.07
156,1864,4.05
157,1863,4.03
158,1862,4.01
159,1861,3.99
160,1860,3.97
161,1859,3.96
162,1858,3.94
163,1857,3.92
164,1856,3.91
165,1855,3.89
166,1854,3.87
167,1853,3.86
168,1852,3.84
169,1851,3.83
170,1850,3.81
171,1849,3.79
172,1848,3.77
173,1847,3.75
174,1846,3.73
175,1845,3.72
176,1844,3.7
177,1843,3.68
178,1842,3.66
179,1841,3.64
180,1840,3.63
181,1839,3.61
182,1838,3.59
183,1837,3.57
184,1836,3.55
185,1835,3.54
186,1834,3.52
187,1833,3.5
188,1832,3.48
189,1831,3.47
190,1830,3.45
191,1829,3.43
192,1828,3.42
193,1827,3.4
194,1826,3.39
195,1825,3.38
196,1824,3.36
197,1823,3.35
198,1822,3.34
199,1821,3.33
200,1820,3.32
201,1819,3.32
202,1818,3.31
203,1817,3.3
204,1816,3.3
205,1815,3.29
206,1814,3.29
207,1813,3.28
208,1812,3.28
209,1811,3.28
210,1810,3.28
211,1809,3.28
212,1808,3.28
213,1807,3.28
214,1806,3.28
215,1805,3.28
216,1804,3.28
217,1803,3.28
218,1802,3.28
219,1801,3.28
220,1800,3.28
