,Year,GDP per capita in U.S. dollars
0,2024*,34380.38
1,2023*,33808.21
2,2022*,33213.79
3,2021*,32647.4
4,2020*,32100.4
5,2019*,31538.17
6,2018,31603.41
7,2017,31590.97
8,2016,30585.55
9,2015,29755.35
10,2014,28981.34
11,2013,28513.15
12,2012,27944.74
13,2011,27278.85
14,2010,26435.74
15,2009,25768.73
16,2008,24898.34
17,2007,23664.87
18,2006,22935.95
19,2005,21959.32
20,2004,20988.99
21,2003,19820.21
22,2002,18972.77
23,2001,18243.71
24,2000,16192.13
25,1999,15293.18
26,1998,14430.16
27,1997,12968.39
28,1996,12305.02
29,1995,11667.59
30,1994,10942.95
31,1993,10255.53
32,1992,9687.44
33,1991,9093.48
34,1990,8675.58
35,1989,8094.29
36,1988,7579.34
37,1987,6987.4
38,1986,6495.5
39,1985,6058.64
40,1984,5777.44
