,Country,Average cost of rent in U.S. dollars
0,Paris,2853.5
1,London,2547.8
2,Luxembourg,2479.8
3,Geneva,2340.0
4,Dublin,2318.0
5,Zurich,2100.7
6,Helsinki,2050.6
7,Oslo,2039.4
8,Milan,1882.9
9,Copenhagen,1867.0
10,Munich,1837.6
11,Amsterdam,1712.7
12,Stockholm,1665.6
13,Frankfurt,1597.6
14,Moscow,1553.1
15,Brussels,1540.8
16,Barcelona,1501.6
17,Rome,1398.0
18,Madrid,1251.7
19,Vienna,1244.0
20,Lisbon,1233.5
21,Berlin,1159.5
22,Athens,1152.3
23,Ljubljana,1031.0
24,Lyon,992.1
25,Prague,883.0
26,Riga,862.4
27,Warsaw,845.7
28,Kiev,815.5
29,Bratislava,801.8
30,Nicosia,801.8
31,Tallinn,793.7
32,Vilnius,728.7
33,Budapest,693.0
34,Istanbul,600.2
35,Bucharest,530.7
36,Sofia,521.4
