,Year,Average number of people per household
0,2020,2.53
1,2019,2.52
2,2018,2.53
3,2017,2.54
4,2016,2.53
5,2015,2.54
6,2014,2.54
7,2013,2.54
8,2012,2.55
9,2011,2.58
10,2010,2.59
11,2009,2.57
12,2008,2.56
13,2007,2.56
14,2006,2.57
15,2005,2.57
16,2004,2.57
17,2003,2.57
18,2002,2.58
19,2001,2.58
20,2000,2.62
21,1999,2.61
22,1998,2.62
23,1997,2.64
24,1996,2.65
25,1995,2.65
26,1994,2.67
27,1993,2.63
28,1992,2.62
29,1991,2.63
30,1990,2.63
31,1989,2.62
32,1988,2.64
33,1987,2.66
34,1986,2.67
35,1985,2.69
36,1984,2.71
37,1983,2.73
38,1982,2.72
39,1981,2.73
40,1980,2.76
41,1979,2.78
42,1978,2.81
43,1977,2.86
44,1976,2.89
45,1975,2.94
46,1974,2.97
47,1973,3.01
48,1972,3.06
49,1971,3.11
50,1970,3.14
51,1960,3.33
