,Country,Number of days since last reported case
0,Nepal,58
1,Holy See,15
2,Guernsey**,12
3,Saint Vincent and the Grenadines**,8
4,Antigua and Barbuda,8
5,Eswatini,7
6,Cases on an international conveyance (Japan)**,6
7,Saint Lucia,6
8,Saint Barthelemy**,6
9,Maldives,6
10,Somalia,5
11,Curaçao**,4
12,Greenland,3
13,Mauritania,3
14,Sint Maarten,3
15,Saint Martin**,3
16,Zambia,3
17,Montserrat,3
18,Kenya,3
19,Venezuela,3
20,Djibouti,3
21,Gambia,3
22,Gabon,3
23,Guyana,3
24,Côte d’Ivoire,3
25,Namibia,2
26,Gibraltar**,2
27,Benin,2
28,Bhutan,2
29,Guinea,2
30,Trinidad and Tobago,2
31,El Salvador,2
32,Chad,2
33,Niger,2
34,French Guiana**,2
35,Ethiopia,2
36,United Republic of  Tanzania,2
37,Cayman Islands**,2
38,Martinique**,2
39,Algeria,1
40,Afghanistan,1
41,Honduras,1
42,United States of America,1
43,Panama,1
44,Uruguay,1
45,San Marino,1
46,Barbados,1
47,Mauritius,1
48,Costa Rica,1
49,Bahamas,1
50,Timor -Leste,1
51,Cuba,1
52,Jamaica,1
53,Jersey**,1
54,Papua New Guinea,1
55,Uzbekistan,1
56,Dominican Republic,1
57,Haiti,1
58,Mexico,1
59,Guadeloupe**,1
60,Chile,1
61,Suriname,1
62,Guatemala,1
63,Montenegro,1
64,Croatia,0
65,Ecuador,0
66,Equatorial Guinea,0
67,Estonia,0
68,China*,0
69,Bulgaria,0
70,Congo,0
71,Central African Republic,0
72,Eritrea,0
73,Puerto Rico**,0
74,French Polynesia**,0
75,Malaysia,0
76,Germany,0
77,Austria,0
78,Philippines,0
79,Réunion**,0
80,Cameroon,0
81,Iceland,0
82,India,0
83,Malta,0
84,Iran (Islamic Republic of),0
85,Burkina Faso,0
86,Ireland,0
87,Brazil,0
88,Mayotte**,0
89,Italy,0
90,Paraguay,0
91,Andorra,0
92,Russian Federation,0
93,Portugal,0
94,Guam**,0
95,Georgia,0
96,Bahrain,0
97,Kyrgyzstan,0
98,Mongolia,0
99,Brunei Darussalam,0
100,Liberia,0
101,Liechtenstein,0
102,Lithuania,0
103,Luxembourg,0
104,Madagascar,0
105,Oman,0
106,Poland,0
107,Morocco,0
108,Ghana,0
109,Bosnia and Herzegovina,0
110,Belarus,0
111,Peru,0
112,Norway,0
113,Netherlands,0
114,occupied Palestinian territory**,0
115,Pakistan,0
116,Greece,0
117,North Macedonia,0
118,New Caledonia,0
119,Nigeria,0
120,New Zealand,0
121,Nicaragua,0
122,Belgium,0
123,Hungary,0
124,Latvia,0
125,Lebanon,0
126,Indonesia,0
127,Azerbaijan,0
128,Saudi Arabia,0
129,Kuwait,0
130,Serbia***,0
131,Senegal,0
132,Seychelles,0
133,Bangladesh,0
134,Slovakia,0
135,Singapore,0
136,Slovenia,0
137,Cambodia,0
138,Argentina,0
139,Iraq,0
140,Spain,0
141,South Africa,0
142,Qatar,0
143,Sri Lanka,0
144,Isle of Man,0
145,Sudan,0
146,Faroe Islands**,0
147,Republic of Korea,0
148,Cabo Verde,0
149,Sweden,0
150,Switzerland,0
151,Fiji,0
152,Israel,0
153,Thailand,0
154,Australia,0
155,Togo,0
156,Tunisia,0
157,Canada,0
158,Uganda,0
159,Turkey,0
160,Ukraine,0
161,Republic of Moldova,0
162,United Kingdom,0
163,United Arab Emirates,0
164,Japan,0
165,Armenia,0
166,Albania,0
167,United States Virgin Islands**,0
168,Czechia,0
169,Colombia,0
170,Angola,0
171,Romania,0
172,Cyprus,0
173,Rwanda,0
174,Viet Nam,0
175,Kazakhstan,0
176,Democratic Republic of the Congo,0
177,Zimbabwe,0
178,Denmark,0
179,Egypt,0
180,Aruba**,0
181,Finland,0
182,Jordan,0
183,Bermuda,0
184,Bolivia,0
185,Monaco,0
186,France,0
