,Year,GDP per capita in million U.S. dollars
0,2025*,5173.37
1,2024*,4719.28
2,2023*,4312.07
3,2022*,3967.68
4,2021*,3614.67
5,2020*,3424.77
6,2019,3706.77
7,2018,3118.53
8,2017,2655.94
9,2016,2200.0
10,2015,2124.62
11,2014,3053.61
12,2013,3968.8
13,2012,3872.53
14,2011,3589.63
15,2010,2982.81
16,2009,2557.28
17,2008,3944.72
18,2007,3101.39
19,2006,2319.29
20,2005,1839.52
21,2004,1374.75
22,2003,1055.95
23,2002,885.32
24,2001,784.86
25,2000,664.38
26,1999,664.99
27,1998,874.27
28,1997,1037.89
29,1996,914.35
30,1995,752.34
