,Month,Market share
0,Dec 20,1.29%
1,Nov 20,1.67%
2,Oct 20,1.65%
3,Sep 20,1.67%
4,Aug 20,1.94%
5,Jul 20,1.9%
6,Jun 20,1.42%
7,May 20,1.69%
8,Apr 20,1.3%
9,Mar 20,1.55%
10,Feb 20,2.7%
11,Jan 20,2.04%
12,Dec 19,1.95%
13,Nov 19,1.84%
14,Oct 19,1.75%
15,Sep 19,2%
16,Aug 19,1.94%
17,Jul 19,2.82%
18,Jun 19,1.8%
19,May 19,2.53%
20,Apr 19,2.25%
21,Mar 19,2.41%
22,Feb 19,2.72%
23,Jan 19,2.41%
24,Dec 18,1.39%
25,Nov 18,1.81%
26,Oct 18,2.14%
27,Sep 18,2.36%
28,Aug 18,1.9%
29,Jul 18,2.09%
30,Jun 18,2.19%
31,May 18,2.29%
32,Apr 18,2.4%
33,Mar 18,1.91%
34,Feb 18,2.64%
35,Jan 18,2.13%
36,Dec 17,1.43%
37,Nov 17,1.74%
38,Oct 17,1.91%
39,Sep 17,1.95%
40,Aug 17,2.69%
41,Jul 17,1.98%
42,Jun 17,1.92%
43,May 17,2.16%
44,Apr 17,1.83%
45,Mar 17,2.31%
46,Feb 17,2.55%
47,Jan 17,1.86%
