,President,Number of Twitter followers in millions
0,Andrés Manuel López Obrador - Mexico (@lopezobrador_),5.54
1,Mauricio Macri - Argentina (@MauricioMacri),4.81
2,Jair Bolsonaro - Brazil(@jairbolsonaro),4.16
3,Nicolás Maduro - Venezuela (@NicolasMaduro),3.63
4,Sebastián Piñera - Chile (@sebastianpinera),2.22
5,Iván Duque - Colombia(@IvanDuque),0.86
6,Lenín Moreno - Ecuador(@Lenin),0.69
7,Danilo Medina - Dominican Republic (@DaniloMedina),0.69
8,Juan Carlos Varela - Panama (@JC_Varela),0.55
9,Martín Vizcarra - Peru (@MartinVizcarraC),0.55
10,Evo Morales - Bolivia(@evoespueblo),0.54
11,Juan Orlando Hernández - Honduras (@JuanOrlandoH),0.36
12,Mario Abdo Benítez - Paraguay (@MaritoAbdo),0.29
13,Jovenel Moïse - Haiti(@moisejovenel),0.21
14,Jimmy Morales - Guatemala (@jimmymorealesgt),0.19
15,Miguel Díaz-Canel - Cuba (@DiazCanelB),0.13
16,Salvador Sánchez - El Salvador (@sanchezceren),0.12
17,Carlos Alvarado Quesada - Costa Rica (@CarlosAlvQ),0.1
