,State,Total number of perpetrators
0,California,58362
1,New York,54550
2,Texas,49563
3,Michigan,30705
4,Florida,27844
5,Illinois,22275
6,Massachusetts,20750
7,Ohio,20567
8,Indiana,20159
9,Kentucky,17400
10,Arizona,15395
11,South Carolina,14350
12,Oklahoma,12929
13,Colorado,10253
14,Oregon,9486
15,Tennessee,9116
16,Alabama,8791
17,Georgia,8629
18,Iowa,8529
19,Mississippi,8252
20,Louisiana,7983
21,Utah,7784
22,Arkansas,7424
23,New Mexico,6832
24,Maryland,6507
25,Connecticut,6292
26,West Virginia,6252
27,Minnesota,5617
28,Missouri,5108
29,Virginia,5074
30,Pennsylvania,4865
31,New Jersey,4589
32,Nevada,4168
33,Wisconsin,4031
34,Washington,3881
35,North Carolina,3409
36,Puerto Rico,3347
37,Maine,3021
38,Rhode Island,2846
39,Montana,2704
40,Kansas,2594
41,Alaska,2032
42,Nebraska,1909
43,Idaho,1774
44,North Dakota,1558
45,New Hampshire,1154
46,District of Columbia,1136
47,Hawaii,1098
48,Delaware,976
49,South Dakota,933
50,Vermont,782
51,Wyoming,780
