,Month,Weekly hours of work in millions
0,Oct 20,960.0
1,Sep 20,925.0
2,Aug 20,891.0
3,Jul 20,855.1
4,Jun 20,841.9
5,May 20,870.9
6,Apr 20,953.4
7,Mar 20,1029.2
8,Feb 20,1052.2
9,Jan 20,1051.1
10,Dec 19,1050.1
11,Nov 19,1054.1
12,Oct 19,1055.7
13,Sep 19,1052.6
14,Aug 19,1049.2
15,Jul 19,1049.8
16,Jun 19,1052.6
17,May 19,1052.4
18,Apr 19,1054.1
19,Mar 19,1052.9
20,Feb 19,1052.9
21,Jan 19,1047.5
22,Dec 18,1042.0
23,Nov 18,1040.1
24,Oct 18,1044.8
25,Sep 18,1042.7
26,Aug 18,1041.1
27,Jul 18,1035.2
28,Jun 18,1033.6
29,May 18,1032.5
30,Apr 18,1029.6
31,Mar 18,1031.9
32,Feb 18,1031.7
33,Jan 18,1034.6
34,Dec 17,1026.9
35,Nov 17,1028.5
36,Oct 17,1024.9
37,Sep 17,1024.5
38,Aug 17,1030.6
39,Jul 17,1033.1
40,Jun 17,1034.8
41,May 17,1029.5
42,Apr 17,1029.9
43,Mar 17,1029.3
44,Feb 17,1029.1
45,Jan 17,1027.0
46,Dec 16,1022.9
47,Nov 16,1019.1
48,Oct 16,1014.8
49,Sep 16,1018.9
50,Aug 16,1016.2
51,Jul 16,1018.3
52,Jun 16,1016.5
53,May 16,1018.0
54,Apr 16,1014.7
55,Mar 16,1013.9
56,Feb 16,1012.9
57,Jan 16,1014.5
58,Dec 15,1019.0
59,Nov 15,1014.3
60,Oct 15,1008.6
61,Sep 15,999.3
62,Aug 15,1000.1
63,Jul 15,997.5
64,Jun 15,999.0
65,May 15,997.8
66,Apr 15,1000.2
67,Mar 15,1000.3
68,Feb 15,999.0
69,Jan 15,996.7
70,Dec 14,997.5
71,Nov 14,996.0
72,Oct 14,996.3
73,Sep 14,991.6
74,Aug 14,990.2
75,Jul 14,987.2
76,Jun 14,988.4
77,May 14,988.0
78,Apr 14,983.8
79,Mar 14,978.9
80,Feb 14,976.1
81,Jan 14,970.1
82,Dec 13,970.1
83,Nov 13,971.9
84,Oct 13,970.6
85,Sep 13,968.4
86,Aug 13,964.3
87,Jul 13,963.1
88,Jun 13,957.1
89,May 13,955.5
90,Apr 13,953.7
91,Mar 13,954.5
92,Feb 13,954.3
93,Jan 13,954.8
94,Dec 12,953.7
95,Nov 12,947.1
96,Oct 12,953.5
97,Sep 12,950.8
98,Aug 12,941.8
99,Jul 12,940.1
100,Jun 12,941.3
101,May 12,944.4
102,Apr 12,935.5
103,Mar 12,934.9
104,Feb 12,932.3
105,Jan 12,931.2
106,Dec 11,926.0
107,Nov 11,927.8
108,Oct 11,929.0
109,Sep 11,927.0
110,Aug 11,928.4
111,Jul 11,927.3
112,Jun 11,921.4
113,May 11,921.6
114,Apr 11,922.4
115,Mar 11,931.3
116,Feb 11,935.7
117,Jan 11,932.7
118,Dec 10,930.9
119,Nov 10,922.0
120,Oct 10,922.6
121,Sep 10,926.9
122,Aug 10,925.0
123,Jul 10,926.2
124,Jun 10,922.3
125,May 10,916.4
126,Apr 10,913.8
127,Mar 10,914.4
128,Feb 10,918.6
129,Jan 10,914.4
130,Dec 09,915.6
131,Nov 09,916.2
132,Oct 09,919.3
133,Sep 09,915.2
134,Aug 09,910.7
135,Jul 09,913.7
136,Jun 09,920.1
137,May 09,923.4
138,Apr 09,924.3
139,Mar 09,923.5
140,Feb 09,928.2
141,Jan 09,936.8
142,Dec 08,939.5
143,Nov 08,941.0
144,Oct 08,942.1
145,Sep 08,945.2
146,Aug 08,948.0
147,Jul 08,950.1
148,Jun 08,944.6
149,May 08,951.2
150,Apr 08,950.9
151,Mar 08,955.1
152,Feb 08,946.2
153,Jan 08,943.1
154,Dec 07,943.1
155,Nov 07,944.7
156,Oct 07,944.9
157,Sep 07,943.1
158,Aug 07,943.0
159,Jul 07,941.2
160,Jun 07,941.2
161,May 07,939.9
162,Apr 07,936.4
163,Mar 07,937.1
164,Feb 07,937.3
165,Jan 07,938.2
166,Dec 06,935.6
167,Nov 06,932.6
168,Oct 06,932.0
169,Sep 06,931.8
170,Aug 06,934.3
171,Jul 06,931.8
172,Jun 06,930.5
173,May 06,931.1
174,Apr 06,932.0
175,Mar 06,931.7
176,Feb 06,932.1
177,Jan 06,931.3
178,Dec 05,929.3
179,Nov 05,928.4
180,Oct 05,928.3
181,Sep 05,929.5
182,Aug 05,924.8
183,Jul 05,925.1
184,Jun 05,922.9
185,May 05,923.0
186,Apr 05,923.6
187,Mar 05,923.8
188,Feb 05,926.4
189,Jan 05,924.2
190,Dec 04,923.0
191,Nov 04,919.3
192,Oct 04,916.0
193,Sep 04,911.9
194,Aug 04,908.9
195,Jul 04,907.9
196,Jun 04,909.8
197,May 04,911.4
198,Apr 04,911.5
199,Mar 04,913.1
200,Feb 04,909.1
201,Jan 04,905.2
202,Dec 03,903.9
203,Nov 03,905.2
204,Oct 03,907.4
205,Sep 03,908.3
206,Aug 03,908.1
207,Jul 03,908.6
208,Jun 03,907.2
209,May 03,905.5
210,Apr 03,905.3
211,Mar 03,904.6
212,Feb 03,901.7
213,Jan 03,903.5
214,Dec 02,905.3
215,Nov 02,906.4
216,Oct 02,904.3
217,Sep 02,903.9
218,Aug 02,894.2
219,Jul 02,898.9
220,Jun 02,897.4
221,May 02,908.3
222,Apr 02,903.9
223,Mar 02,901.5
224,Feb 02,900.1
225,Jan 02,899.7
226,Dec 01,903.5
227,Nov 01,903.5
228,Oct 01,904.2
229,Sep 01,904.9
230,Aug 01,906.4
231,Jul 01,905.8
232,Jun 01,906.4
233,May 01,906.5
234,Apr 01,903.4
235,Mar 01,900.5
236,Feb 01,904.8
237,Jan 01,908.0
238,Dec 00,903.4
239,Nov 00,896.7
240,Oct 00,894.8
241,Sep 00,896.0
242,Aug 00,899.8
243,Jul 00,896.0
244,Jun 00,895.3
245,May 00,893.3
246,Apr 00,899.0
247,Mar 00,884.4
248,Feb 00,888.2
249,Jan 00,889.8
250,Dec 99,897.0
251,Nov 99,894.6
252,Oct 99,892.6
253,Sep 99,894.8
254,Aug 99,893.4
255,Jul 99,892.3
256,Jun 99,890.6
257,May 99,887.3
258,Apr 99,886.2
259,Mar 99,888.3
260,Feb 99,888.0
261,Jan 99,887.2
262,Dec 98,883.2
263,Nov 98,888.5
264,Oct 98,888.2
265,Sep 98,887.6
266,Aug 98,885.4
267,Jul 98,884.6
268,Jun 98,884.1
269,May 98,885.1
270,Apr 98,885.9
271,Mar 98,884.1
272,Feb 98,880.4
273,Jan 98,881.1
274,Dec 97,879.8
275,Nov 97,884.5
276,Oct 97,882.9
277,Sep 97,880.2
278,Aug 97,877.9
279,Jul 97,877.0
280,Jun 97,878.3
281,May 97,878.1
282,Apr 97,877.5
283,Mar 97,873.7
284,Feb 97,870.2
285,Jan 97,867.8
286,Dec 96,866.1
287,Nov 96,869.2
288,Oct 96,865.8
289,Sep 96,863.3
290,Aug 96,863.5
