,State,Number of doctorate recipients
0,California,6076
1,New York,4260
2,Texas,4074
3,Massachusetts,2946
4,Pennsylvania,2623
5,Illinois,2517
6,Florida,2346
7,Ohio,2051
8,Michigan,1953
9,North Carolina,1736
10,Indiana,1631
11,Virginia,1518
12,Georgia,1511
13,Minnesota,1437
14,Maryland,1365
15,New Jersey,1124
16,Wisconsin,1081
17,Colorado,1052
18,Missouri,978
19,Washington,964
20,Tennessee,955
21,Connecticut,786
22,Arizona,764
23,Iowa,743
24,Alabama,667
25,District of Columbia,588
26,Louisiana,576
27,South Carolina,568
28,Oregon,537
29,Kansas,534
30,Utah,512
31,Oklahoma,504
32,Kentucky,494
33,Mississippi,471
34,Nebraska,341
35,Rhode Island,326
36,New Mexico,322
37,Arkansas,266
38,Nevada,240
39,Delaware,238
40,West Virginia,219
41,Hawaii,201
42,North Dakota,193
43,New Hampshire,165
44,Puerto Rico,148
45,South Dakota,114
46,Montana,112
47,Wyoming,102
48,Idaho,97
49,Vermont,63
50,Alaska,56
51,Maine,50
