,State,"New cases per 100,000 population"
0,Nevada,6.8
1,Alaska,9.0
2,Maine,9.2
3,Washington,10.4
4,District of Columbia,10.5
5,Michigan,10.6
6,Oregon,10.9
7,Idaho,10.9
8,Utah,10.9
9,Wyoming,11.5
10,Rhode Island,11.6
11,New Jersey,11.7
12,New York,11.8
13,California,11.9
14,Indiana,12.0
15,Pennsylvania,12.5
16,Colorado,12.6
17,Connecticut,12.7
18,Arizona,13.0
19,West Virginia,13.1
20,Ohio,13.3
21,Illinois,14.1
22,Virginia,14.2
23,New Hampshire,14.6
24,Maryland,14.9
25,Nebraska,15.5
26,Wisconsin,15.6
27,Minnesota,15.9
28,Kansas,15.9
29,North Dakota,16.0
30,Kentucky,16.1
31,New Mexico,16.3
32,Tennessee,16.6
33,United States,16.7
34,Missouri,16.8
35,Montana,17.0
36,Massachusetts,17.4
37,Delaware,17.9
38,Vermont,19.4
39,North Carolina,20.9
40,Texas,21.1
41,Hawaii,21.4
42,Georgia,22.0
43,Oklahoma,23.5
44,Iowa,24.8
45,Alabama,26.4
46,Florida,27.2
47,Arkansas,27.3
48,Louisiana,29.1
49,South Carolina,33.4
50,South Dakota,35.4
51,Mississippi,39.8
