,Response,Share of respondents
0,Avoiding opening emails from unknown email addresses,45%
1,Disclosing less personal information online,41%
2,Avoiding certain internet sites,40%
3,Using antivirus software,36%
4,Changing your password regularly,33%
5,Avoiding certain web applications,32%
6,Cutting down on the amount of biographically accurate information you divulge online,29%
7,Self-censoring what you say online,21%
8,Changing who you communicate with,15%
9,Doing fewer financial transactions online,15%
10,Making fewer online purchases,12%
11,"Closing Facebook and other social media accounts, etc.",11%
12,Using the Internet less often,8%
13,None of these,16%
