,Month,Index level*
0,Jul '20,109.8
1,Jun '20,109.7
2,May '20,109.6
3,Apr '20,109.4
4,Mar '20,109.3
5,Feb '20,109.1
6,Jan '20,109.1
7,Dec '19,108.9
8,Nov '19,108.7
9,Oct '19,108.6
10,Sep '19,108.4
11,Aug '19,108.3
12,Jul '19,108.2
13,Jun '19,108.1
14,May '19,108.0
15,Apr '19,107.8
16,Mar '19,107.7
17,Feb '19,107.6
18,Jan '19,107.4
19,Dec '18,107.4
20,Nov '18,107.2
21,Oct '18,107.1
22,Sep '18,107.0
23,Aug '18,106.9
24,Jul '18,106.8
25,Jun '18,106.7
26,May '18,106.6
27,Apr '18,106.5
28,Mar '18,106.4
29,Feb '18,106.4
30,Jan '18,106.3
31,Dec '17,106.2
32,Nov '17,106.2
33,Oct '17,106.1
34,Sep '17,106.0
35,Aug '17,105.9
36,Jul '17,105.8
37,Jun '17,105.6
38,May '17,105.5
39,Apr '17,105.4
40,Mar '17,105.3
41,Feb '17,105.2
42,Jan '17,105.1
43,Dec '16,104.9
44,Nov '16,104.7
45,Oct '16,104.5
46,Sep '16,104.3
47,Aug '16,104.1
48,Jul '16,103.8
49,Jun '16,103.7
50,May '16,103.6
51,Apr '16,103.4
52,Mar '16,103.1
53,Feb '16,102.9
54,Jan '16,102.7
