,Year,2019-valued British pounds
0,2019,1.0
1,2018,1.03
2,2017,1.06
3,2016,1.1
4,2015,1.12
5,2014,1.13
6,2013,1.15
7,2012,1.19
8,2011,1.23
9,2010,1.29
10,2009,1.35
11,2008,1.34
12,2007,1.4
13,2006,1.46
14,2005,1.5
15,2004,1.55
16,2003,1.59
17,2002,1.64
18,2001,1.67
19,2000,1.7
20,1999,1.75
21,1998,1.77
22,1997,1.83
23,1996,1.89
24,1995,1.94
25,1994,2.0
26,1993,2.05
27,1992,2.09
28,1991,2.16
29,1990,2.29
30,1989,2.51
31,1988,2.7
32,1987,2.83
33,1986,2.95
34,1985,3.05
35,1984,3.24
36,1983,3.4
37,1982,3.56
38,1981,3.86
39,1980,4.32
40,1979,5.1
41,1978,5.78
42,1977,6.26
43,1976,7.25
44,1975,8.45
45,1974,10.5
46,1973,12.19
47,1972,13.29
48,1971,14.24
49,1970,15.59
50,1969,16.58
51,1968,17.47
52,1967,18.29
53,1966,18.77
54,1965,19.51
55,1964,20.42
56,1963,21.1
57,1962,21.5
58,1961,22.43
59,1960,23.2
60,1959,23.44
61,1958,23.54
62,1957,24.29
63,1956,25.15
64,1955,26.43
65,1954,27.59
66,1953,28.13
67,1952,28.99
68,1951,31.65
69,1950,34.52
70,1949,35.6
71,1948,36.63
72,1947,39.42
73,1946,42.2
74,1945,43.48
75,1944,44.68
76,1943,45.94
77,1942,47.47
78,1941,50.86
79,1940,56.4
80,1939,65.86
81,1938,67.82
82,1937,68.63
83,1936,71.21
84,1935,71.65
85,1934,72.11
86,1933,72.11
87,1932,70.33
88,1931,68.63
89,1930,65.86
90,1929,64.01
91,1928,63.29
92,1927,63.29
93,1926,61.58
94,1925,61.25
95,1924,61.25
96,1923,60.93
97,1922,57.25
98,1921,49.32
99,1920,45.03
100,1919,52.02
101,1918,57.25
102,1917,69.9
103,1916,87.64
104,1915,103.57
105,1914,116.26
106,1913,116.26
107,1912,115.08
108,1911,118.68
109,1910,118.68
110,1909,119.93
111,1908,121.2
112,1907,121.2
113,1906,122.51
114,1905,122.51
115,1904,122.51
116,1903,122.51
117,1902,123.84
118,1901,123.84
119,1900,123.84
120,1899,129.47
121,1898,130.95
122,1897,130.95
123,1896,134.04
124,1895,132.48
125,1894,130.95
126,1893,129.47
127,1892,128.01
128,1891,128.01
129,1890,129.47
130,1889,129.47
131,1888,130.95
132,1887,132.48
133,1886,130.95
134,1885,129.47
135,1884,125.2
136,1883,122.51
137,1882,121.2
138,1881,122.51
139,1880,121.2
140,1879,125.2
141,1878,119.93
142,1877,117.45
143,1876,116.26
144,1875,116.26
145,1874,113.93
146,1873,109.55
147,1872,113.93
148,1871,118.68
149,1870,119.93
150,1869,119.93
151,1868,113.93
152,1867,121.8
153,1866,119.93
154,1865,126.59
155,1864,128.01
156,1863,126.59
157,1862,122.51
158,1861,119.93
159,1860,122.51
160,1859,126.59
161,1858,125.2
162,1857,113.93
163,1856,108.5
164,1855,108.5
165,1854,111.7
166,1853,128.01
167,1852,140.65
168,1851,140.65
169,1850,135.63
170,1849,128.01
171,1848,119.93
172,1847,104.52
173,1846,117.45
174,1845,122.51
175,1844,128.01
176,1843,128.01
177,1842,113.93
178,1841,104.52
179,1840,102.64
180,1839,104.52
181,1838,111.7
182,1837,112.8
183,1836,115.08
184,1835,128.01
185,1834,130.95
186,1833,119.93
187,1832,112.8
188,1831,104.52
189,1830,115.08
190,1829,110.61
191,1828,109.55
192,1827,106.48
193,1826,99.94
194,1825,94.16
195,1824,110.61
196,1823,119.93
197,1822,128.01
198,1821,110.61
199,1820,97.38
200,1819,88.32
201,1818,86.31
202,1817,86.31
203,1816,98.22
204,1815,89.71
205,1814,80.23
206,1813,69.9
207,1812,71.65
208,1811,81.38
209,1810,79.12
210,1809,81.38
211,1808,89.01
212,1807,92.63
213,1806,90.42
214,1805,86.97
215,1804,100.82
216,1803,103.57
217,1802,98.22
218,1801,75.45
219,1800,84.39
220,1799,115.08
221,1798,129.47
222,1797,126.59
223,1796,113.93
224,1795,121.2
225,1794,134.04
226,1793,146.06
227,1792,149.91
228,1791,151.91
229,1790,151.91
230,1789,153.96
231,1788,151.91
232,1787,158.24
233,1786,158.24
234,1785,158.24
235,1784,149.91
236,1783,151.91
237,1782,170.04
238,1781,172.62
239,1780,180.84
240,1779,175.28
241,1778,175.28
242,1777,165.12
243,1776,165.12
244,1775,162.76
245,1774,151.91
246,1773,153.96
247,1772,153.96
248,1771,170.04
249,1770,183.76
250,1769,183.76
251,1768,170.04
252,1767,167.54
253,1766,175.28
254,1765,178.02
255,1764,183.76
256,1763,199.88
257,1762,207.15
258,1761,214.96
259,1760,203.45
260,1759,196.43
261,1758,180.84
262,1757,180.84
263,1756,219.1
264,1755,227.86
265,1754,214.96
266,1753,223.39
267,1752,219.1
268,1751,227.86
269,1750,223.39
270,1749,222.28
271,1748,221.01
272,1747,227.55
273,1746,221.56
274,1745,238.99
275,1744,250.72
276,1743,242.32
277,1742,221.41
278,1741,190.05
279,1740,196.69
280,1739,225.17
281,1738,234.79
282,1737,226.41
283,1736,217.38
284,1735,218.22
285,1734,227.28
286,1733,239.9
287,1732,249.05
288,1731,234.14
289,1730,216.49
290,1729,193.02
291,1728,181.69
292,1727,205.42
293,1726,199.58
294,1725,207.6
295,1724,221.19
296,1723,221.02
297,1722,222.96
298,1721,216.92
299,1720,208.18
300,1719,227.1
301,1718,220.34
302,1717,211.25
303,1716,207.0
304,1715,220.03
305,1714,196.78
