,Richest people,Net worth in billion U.S. dollars
0,Jeff Bezos (Amazon),113.0
1,Bill Gates (Microsoft),98.0
2,Warren Buffet (Berkshire Hathaway),67.5
3,Larry Ellison (Oracle),59.0
4,Mark Zuckerberg (Facebook),54.7
5,Jim Walton (Walmart),54.6
6,Alice Walton (Walmart),54.4
7,"S. Robson ""Rob"" Walton (Walmart)",54.1
8,Steve Ballmer (Microsoft),52.7
9,Larry Page (Google),50.9
10,Sergey Brin (Google),49.1
11,Michael Bloomberg (Bloomberg LP),48.0
12,Charles Koch (Koch Industries),38.2
13,Julia Koch (Koch Industries),38.2
14,MacKenzie Bezos (Amazon),36.0
15,Phil Knight (Nike),29.5
16,Sheldon Adelson (Las Vegas Sands),26.8
17,John Mars (Mars),24.7
18,Jacqueline Mars (Mars),24.7
19,"Elon Musk (Tesla Motors, SpaceX)",24.6
