,Country,Net occupancy rate
0,Cyprus,71.8%
1,Malta,66.2%
2,Spain,61.48%
3,Croatia,60.3%
4,Greece *,53.6%
5,Iceland,51.1%
6,Portugal,51.05%
7,Czech Republic,50.9%
8,Netherlands,50.2%
9,France,50%
10,EU-28,49.17%
11,Italy,49%
12,Denmark,48%
13,Austria,48%
14,Estonia,48%
15,Germany,45.71%
16,Sweden,45%
17,Lithuania,44%
18,Latvia,43.3%
19,Bulgaria,42.1%
20,Finland,41.99%
21,Hungary,41.9%
22,Poland,41.7%
23,Romania,39.72%
24,Slovakia,36.16%
25,Luxembourg*,31.46%
26,Liechtenstein,30.2%
27,North Macedonia,27.5%
