,song,Number of streams
0,Sfera Ebbasta - Bottiglie Privè,3933369
1,"Bloody Vinyl. Slait, tha Supreme - Altalene (feat. Mara Sattei & Coez)",1941301
2,Gazzelle - Destri,1936241
3,Ernia - Superclassico,1747739
4,Rondodasosa - Slatt (feat. Capo Plaza),1746004
5,Blind - Cuore Nero (prod. Frenetik&Orang3),1569827
6,24kGoldn - Mood (feat. iann dior),1431839
7,Guè Pequeno - Chico (feat. Rose Villain & Luchè),1301285
8,Shablo - M' Manc (with Geolier & Sfera Ebbasta),1245062
9,Fedez - Bella Storia,1232238
