,Major occupation group,"Rate per 100,000 full-time equivalent workers"
0,"Farming, fishing, and forestry",24.5
1,Transportation and material moving,15.2
2,Construction and extraction,12.9
3,"Installation, maintenance, and repair",8.8
4,Protective service,6.7
5,"Building, grounds cleaning and maintenance",6.7
6,"Arts, design, entertainment, sports, and media",1.3
7,Management,1.9
8,Sales and related,1.7
9,Food preparation and serving,1.5
10,Personal care and service,1.2
11,"Life, physical, and social science",1.1
12,Healthcare support,1.1
13,Architecture and engineering,1.3
14,Community and social services,1.2
15,Legal,0.5
16,Healthcare practitioners and technical,0.6
17,Business and financial operations,0.4
18,Office and administrative support,0.6
19,"Education, training, and library",0.3
20,Computer and mathematical,0.3
