,Country,Gold,Silver,Bronze
0,Norway,14,14,11
1,Germany,14,10,7
2,Canada,11,8,10
3,United States,9,8,6
4,Netherlands,8,6,6
5,South Korea,5,8,4
6,Olympic Athletes from Russia,2,6,9
7,Switzerland,5,6,4
8,France,5,4,6
9,Sweden,7,6,1
10,Austria,5,3,6
11,Japan,4,5,4
12,Italy,3,2,5
13,China,1,6,2
14,Czech Republic,2,2,3
15,Finland,1,1,4
16,Great Britain,1,0,4
17,Belarus,2,1,0
18,Slovakia,1,2,0
19,Australia,0,2,1
20,Poland,1,0,1
21,Slovenia,0,1,1
22,Spain,0,0,2
23,New Zealand,0,0,2
24,Hungary,1,0,0
25,Ukraine,1,0,0
26,Belgium,0,1,0
27,Kazakhstan,0,0,1
28,Latvia,0,0,1
29,Liechtenstein,0,0,1
