,Month,Price in British pounds per kilogram
0,Nov '19,1.01
1,Oct '19,0.83
2,Sep '19,0.92
3,Aug '19,1.07
4,Jul '19,1.04
5,Jun '19,1.07
6,May '19,1.0
7,Apr '19,0.99
8,Mar '19,0.89
9,Feb '19,0.94
10,Jan '19,0.88
11,Dec '18,0.7
12,Nov '18,0.73
13,Oct '18,0.73
14,Sep '18,0.8
15,Aug '18,1.18
16,Jul '18,2.01
17,Jun '18,1.1
18,May '18,0.99
19,Apr '18,0.87
20,Mar '18,0.8
21,Feb '18,0.76
22,Jan '18,0.8
23,Dec '17,0.76
24,Nov '17,0.75
25,Oct '17,0.7
26,Sep '17,0.71
27,Aug '17,0.85
28,Jul '17,0.78
29,Jun '17,0.74
30,May '17,0.77
31,Apr '17,0.74
32,Mar '17,0.74
33,Feb '17,0.7
34,Jan '17,0.66
35,Dec '16,0.63
36,Nov '16,0.62
37,Oct '16,0.63
38,Sep '16,0.73
39,Aug '16,0.97
40,Jul '16,0.84
41,Jun '16,0.72
42,May '16,0.69
43,Apr '16,0.7
44,Mar '16,0.65
45,Feb '16,0.64
46,Jan '16,0.59
47,Dec '15,0.56
48,Nov '15,0.57
49,Oct '15,0.59
50,Sep '15,0.64
51,Aug '15,0.68
52,Jul '15,0.59
53,Jun '15,0.62
54,May '15,0.61
55,Apr '15,0.6
56,Mar '15,0.59
57,Feb '15,0.61
58,Jan '15,0.61
