,Year,Inflation rate compared to previous year
0,2024*,2%
1,2023*,1.9%
2,2022*,1.8%
3,2021*,1.4%
4,2020*,0.89%
5,2019*,0.46%
6,2018,1.48%
7,2017,1.94%
8,2016,0.97%
9,2015,0.71%
10,2014,1.28%
11,2013,1.3%
12,2012,2.19%
13,2011,4.03%
14,2010,2.94%
15,2009,2.76%
16,2008,4.67%
17,2007,2.54%
18,2006,2.24%
19,2005,2.75%
20,2004,3.59%
21,2003,3.52%
22,2002,2.76%
23,2001,4.07%
24,2000,2.26%
25,1999,0.81%
26,1998,7.51%
27,1997,4.44%
28,1996,4.93%
29,1995,4.48%
30,1994,6.27%
31,1993,4.8%
32,1992,6.21%
33,1991,9.33%
34,1990,8.57%
35,1989,5.7%
36,1988,7.15%
37,1987,3.05%
38,1986,2.75%
39,1985,2.46%
40,1984,2.27%
